innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2011-466304,rajasthan-royals-vs-delhi-daredevils-7th-match-501204,David Warner,c Raut b Singh,54,44,-,6,1,122.72,Delhi Daredevils
1,indian-premier-league-2011-466304,rajasthan-royals-vs-delhi-daredevils-7th-match-501204,Virender Sehwag (c),c Dravid b Tait,4,2,-,1,0,200.00,Delhi Daredevils
1,indian-premier-league-2011-466304,rajasthan-royals-vs-delhi-daredevils-7th-match-501204,Aaron Finch,c Botha b Tait,11,14,-,1,1,78.57,Delhi Daredevils
1,indian-premier-league-2011-466304,rajasthan-royals-vs-delhi-daredevils-7th-match-501204,Unmukt Chand,c Dravid b Warne,2,10,-,0,0,20.00,Delhi Daredevils
1,indian-premier-league-2011-466304,rajasthan-royals-vs-delhi-daredevils-7th-match-501204,Naman Ojha,c Tait b Warne,0,2,-,0,0,0.00,Delhi Daredevils
1,indian-premier-league-2011-466304,rajasthan-royals-vs-delhi-daredevils-7th-match-501204,Venugopal Rao,c Warne b Trivedi,60,40,-,4,4,150.00,Delhi Daredevils
1,indian-premier-league-2011-466304,rajasthan-royals-vs-delhi-daredevils-7th-match-501204,Irfan Pathan,not out ,9,6,-,2,0,150.00,Delhi Daredevils
1,indian-premier-league-2011-466304,rajasthan-royals-vs-delhi-daredevils-7th-match-501204,Roelof van der Merwe,not out ,2,3,-,0,0,66.66,Delhi Daredevils
2,indian-premier-league-2011-466304,rajasthan-royals-vs-delhi-daredevils-7th-match-501204,Amit Paunikar, b Dinda,5,8,-,1,0,62.50,Rajasthan Royals
2,indian-premier-league-2011-466304,rajasthan-royals-vs-delhi-daredevils-7th-match-501204,Rahul Dravid,c Ojha b van der Merwe,38,31,-,6,1,122.58,Rajasthan Royals
2,indian-premier-league-2011-466304,rajasthan-royals-vs-delhi-daredevils-7th-match-501204,Johan Botha,not out ,39,32,-,4,0,121.87,Rajasthan Royals
2,indian-premier-league-2011-466304,rajasthan-royals-vs-delhi-daredevils-7th-match-501204,Ashok Menaria,c Sehwag b Pathan,22,15,-,0,3,146.66,Rajasthan Royals
2,indian-premier-league-2011-466304,rajasthan-royals-vs-delhi-daredevils-7th-match-501204,Ajinkya Rahane, b Morkel,18,17,-,1,1,105.88,Rajasthan Royals
2,indian-premier-league-2011-466304,rajasthan-royals-vs-delhi-daredevils-7th-match-501204,Ross Taylor,not out ,18,10,-,1,1,180.00,Rajasthan Royals
