innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2011-466304,rajasthan-royals-vs-mumbai-indians-34th-match-501231,Ashok Menaria,4,0,20,2,5.00,10,2,0,0,0,Rajasthan Royals
1,indian-premier-league-2011-466304,rajasthan-royals-vs-mumbai-indians-34th-match-501231,Amit Singh,4,0,14,2,3.50,15,1,0,1,0,Rajasthan Royals
1,indian-premier-league-2011-466304,rajasthan-royals-vs-mumbai-indians-34th-match-501231,Shane Watson,4,0,25,0,6.25,12,0,2,2,0,Rajasthan Royals
1,indian-premier-league-2011-466304,rajasthan-royals-vs-mumbai-indians-34th-match-501231,Shane Warne,4,0,13,1,3.25,13,0,0,1,0,Rajasthan Royals
1,indian-premier-league-2011-466304,rajasthan-royals-vs-mumbai-indians-34th-match-501231,Siddharth Trivedi,2,0,13,0,6.50,3,1,0,0,0,Rajasthan Royals
1,indian-premier-league-2011-466304,rajasthan-royals-vs-mumbai-indians-34th-match-501231,Johan Botha,2,0,6,3,3.00,7,0,0,0,0,Rajasthan Royals
2,indian-premier-league-2011-466304,rajasthan-royals-vs-mumbai-indians-34th-match-501231,Lasith Malinga,4,0,20,1,5.00,15,3,0,0,0,Mumbai Indians
2,indian-premier-league-2011-466304,rajasthan-royals-vs-mumbai-indians-34th-match-501231,Munaf Patel,4,1,18,2,4.50,17,3,0,0,0,Mumbai Indians
2,indian-premier-league-2011-466304,rajasthan-royals-vs-mumbai-indians-34th-match-501231,Ali Murtaza,4,0,15,0,3.75,14,1,0,0,0,Mumbai Indians
2,indian-premier-league-2011-466304,rajasthan-royals-vs-mumbai-indians-34th-match-501231,Harbhajan Singh,3,0,20,0,6.66,8,0,1,0,0,Mumbai Indians
2,indian-premier-league-2011-466304,rajasthan-royals-vs-mumbai-indians-34th-match-501231,Rajagopal Sathish,1.1,0,5,0,4.28,3,0,0,0,0,Mumbai Indians
2,indian-premier-league-2011-466304,rajasthan-royals-vs-mumbai-indians-34th-match-501231,Kieron Pollard,2,0,16,0,8.00,4,0,1,1,0,Mumbai Indians
