innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kings-xi-punjab-37th-match-548343,Nuwan Kulasekara,4,0,29,1,7.25,10,3,0,3,0,Chennai Super Kings
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kings-xi-punjab-37th-match-548343,Albie Morkel,4,0,29,3,7.25,11,4,0,0,0,Chennai Super Kings
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kings-xi-punjab-37th-match-548343,Ravichandran Ashwin,4,0,25,0,6.25,8,0,1,1,0,Chennai Super Kings
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kings-xi-punjab-37th-match-548343,Shadab Jakati,2,0,22,0,11.00,4,3,1,0,0,Chennai Super Kings
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kings-xi-punjab-37th-match-548343,Suresh Raina,1,0,8,0,8.00,1,1,0,0,0,Chennai Super Kings
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kings-xi-punjab-37th-match-548343,Dwayne Bravo,4,0,28,2,7.00,8,3,0,1,0,Chennai Super Kings
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kings-xi-punjab-37th-match-548343,Ravindra Jadeja,1,0,15,0,15.00,1,0,2,0,0,Chennai Super Kings
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kings-xi-punjab-37th-match-548343,Praveen Kumar,4,0,40,1,10.00,8,2,3,1,0,Kings XI Punjab
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kings-xi-punjab-37th-match-548343,Bhargav Bhatt,2,0,13,0,6.50,8,1,1,0,0,Kings XI Punjab
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kings-xi-punjab-37th-match-548343,Bipul Sharma,1,0,11,0,11.00,3,1,1,0,0,Kings XI Punjab
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kings-xi-punjab-37th-match-548343,Parvinder Awana,4,0,34,0,8.50,5,4,0,1,0,Kings XI Punjab
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kings-xi-punjab-37th-match-548343,Azhar Mahmood,4,0,25,3,6.25,9,2,0,0,0,Kings XI Punjab
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kings-xi-punjab-37th-match-548343,Piyush Chawla,4,0,20,2,5.00,11,1,0,1,0,Kings XI Punjab
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kings-xi-punjab-37th-match-548343,David Hussey,1,0,3,1,3.00,3,0,0,0,0,Kings XI Punjab
