innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-41st-match-548347,Iqbal Abdulla,3,0,18,0,6.00,9,1,1,0,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-41st-match-548347,Brett Lee,4,0,34,1,8.50,7,2,1,0,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-41st-match-548347,Yusuf Pathan,1,0,10,0,10.00,2,1,0,1,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-41st-match-548347,Sunil Narine,4,0,24,1,6.00,9,1,0,0,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-41st-match-548347,Jacques Kallis,4,0,21,2,5.25,10,2,0,1,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-41st-match-548347,Rajat Bhatia,3,0,22,0,7.33,3,1,0,1,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-41st-match-548347,Laxmi Shukla,1,0,7,0,7.00,1,0,0,0,0,Kolkata Knight Riders
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-41st-match-548347,Shadab Jakati,2,0,17,0,8.50,3,1,1,0,0,Chennai Super Kings
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-41st-match-548347,Albie Morkel,4,0,24,1,6.00,12,2,0,4,1,Chennai Super Kings
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-41st-match-548347,Ravichandran Ashwin,3.4,0,22,2,6.00,10,1,1,1,0,Chennai Super Kings
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-41st-match-548347,Yo Mahesh,1,0,11,0,11.00,0,1,0,2,0,Chennai Super Kings
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-41st-match-548347,Ravindra Jadeja,2,0,13,0,6.50,2,0,0,1,0,Chennai Super Kings
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-41st-match-548347,Dwayne Bravo,4,0,27,2,6.75,8,3,0,0,0,Chennai Super Kings
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-41st-match-548347,Suresh Raina,3,0,22,0,7.33,4,2,0,0,0,Chennai Super Kings
