innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-final-548381,Brett Lee,4,0,42,0,10.50,9,3,3,0,1,Kolkata Knight Riders
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-final-548381,Shakib Al Hasan,3,0,25,1,8.33,5,1,1,1,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-final-548381,Sunil Narine,4,0,37,0,9.25,5,1,2,0,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-final-548381,Iqbal Abdulla,1,0,9,0,9.00,2,1,0,0,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-final-548381,Jacques Kallis,4,0,34,1,8.50,7,3,1,1,1,Kolkata Knight Riders
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-final-548381,Rajat Bhatia,3,0,23,1,7.66,5,2,0,0,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-final-548381,Yusuf Pathan,1,0,17,0,17.00,0,2,1,0,0,Kolkata Knight Riders
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-final-548381,Ben Hilfenhaus,4,0,25,2,6.25,11,2,0,1,1,Chennai Super Kings
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-final-548381,Albie Morkel,4,0,38,1,9.50,5,5,0,2,0,Chennai Super Kings
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-final-548381,Ravichandran Ashwin,4,0,41,1,10.25,6,1,3,0,0,Chennai Super Kings
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-final-548381,Dwayne Bravo,3.4,0,49,1,13.36,3,4,3,2,0,Chennai Super Kings
2,indian-premier-league-2012-520932,chennai-super-kings-vs-kolkata-knight-riders-final-548381,Shadab Jakati,4,0,38,0,9.50,5,6,0,0,0,Chennai Super Kings
