innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2012-520932,chennai-super-kings-vs-mumbai-indians-1st-match-548306,Lasith Malinga,3.5,0,16,2,4.17,13,0,0,2,0,Mumbai Indians
1,indian-premier-league-2012-520932,chennai-super-kings-vs-mumbai-indians-1st-match-548306,Abu Nechim,2,0,17,0,8.50,5,1,1,1,0,Mumbai Indians
1,indian-premier-league-2012-520932,chennai-super-kings-vs-mumbai-indians-1st-match-548306,Harbhajan Singh,4,0,24,0,6.00,6,1,0,2,0,Mumbai Indians
1,indian-premier-league-2012-520932,chennai-super-kings-vs-mumbai-indians-1st-match-548306,James Franklin,2,0,18,1,9.00,3,3,0,0,0,Mumbai Indians
1,indian-premier-league-2012-520932,chennai-super-kings-vs-mumbai-indians-1st-match-548306,Pragyan Ojha,4,0,17,2,4.25,10,1,0,0,0,Mumbai Indians
1,indian-premier-league-2012-520932,chennai-super-kings-vs-mumbai-indians-1st-match-548306,Kieron Pollard,4,0,15,2,3.75,11,0,0,2,0,Mumbai Indians
2,indian-premier-league-2012-520932,chennai-super-kings-vs-mumbai-indians-1st-match-548306,Albie Morkel,4,0,20,0,5.00,13,1,1,1,0,Chennai Super Kings
2,indian-premier-league-2012-520932,chennai-super-kings-vs-mumbai-indians-1st-match-548306,Doug Bollinger,3.5,0,34,1,8.86,10,5,1,1,0,Chennai Super Kings
2,indian-premier-league-2012-520932,chennai-super-kings-vs-mumbai-indians-1st-match-548306,Ravichandran Ashwin,4,0,20,0,5.00,10,0,1,0,0,Chennai Super Kings
2,indian-premier-league-2012-520932,chennai-super-kings-vs-mumbai-indians-1st-match-548306,Ravindra Jadeja,1,0,16,0,16.00,1,2,1,0,0,Chennai Super Kings
2,indian-premier-league-2012-520932,chennai-super-kings-vs-mumbai-indians-1st-match-548306,Dwayne Bravo,3,0,14,1,4.66,10,0,1,1,0,Chennai Super Kings
2,indian-premier-league-2012-520932,chennai-super-kings-vs-mumbai-indians-1st-match-548306,Shadab Jakati,1,0,8,0,8.00,1,1,0,0,0,Chennai Super Kings
