innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2012-520932,deccan-chargers-vs-kings-xi-punjab-53rd-match-548359,Mandeep Singh, b Ashish Reddy,75,48,72,8,3,156.25,Kings XI Punjab
1,indian-premier-league-2012-520932,deccan-chargers-vs-kings-xi-punjab-53rd-match-548359,Shaun Marsh, b Dhawan,22,20,27,3,0,110.00,Kings XI Punjab
1,indian-premier-league-2012-520932,deccan-chargers-vs-kings-xi-punjab-53rd-match-548359,Nitin Saini,lbw b Ashish Reddy,2,4,4,0,0,50.00,Kings XI Punjab
1,indian-premier-league-2012-520932,deccan-chargers-vs-kings-xi-punjab-53rd-match-548359,David Hussey (c),c Harris b Pratap Singh,16,16,22,1,1,100.00,Kings XI Punjab
1,indian-premier-league-2012-520932,deccan-chargers-vs-kings-xi-punjab-53rd-match-548359,Azhar Mahmood,run out (Ashish Reddy/Theron),14,9,26,2,0,155.55,Kings XI Punjab
1,indian-premier-league-2012-520932,deccan-chargers-vs-kings-xi-punjab-53rd-match-548359,David Miller,not out ,28,18,23,3,1,155.55,Kings XI Punjab
1,indian-premier-league-2012-520932,deccan-chargers-vs-kings-xi-punjab-53rd-match-548359,Siddharth Chitnis,not out ,6,5,13,0,0,120.00,Kings XI Punjab
2,indian-premier-league-2012-520932,deccan-chargers-vs-kings-xi-punjab-53rd-match-548359,Daniel Harris,c Awana b Hussey,30,29,46,2,1,103.44,Deccan Chargers
2,indian-premier-league-2012-520932,deccan-chargers-vs-kings-xi-punjab-53rd-match-548359,Shikhar Dhawan,c Azhar Mahmood b Kumar,8,6,6,1,0,133.33,Deccan Chargers
2,indian-premier-league-2012-520932,deccan-chargers-vs-kings-xi-punjab-53rd-match-548359,Parthiv Patel, b Awana,17,13,13,1,1,130.76,Deccan Chargers
2,indian-premier-league-2012-520932,deccan-chargers-vs-kings-xi-punjab-53rd-match-548359,Cameron White,c Marsh b Hussey,8,14,27,1,0,57.14,Deccan Chargers
2,indian-premier-league-2012-520932,deccan-chargers-vs-kings-xi-punjab-53rd-match-548359,Kumar Sangakkara (c),c Saini b Kumar,4,6,4,0,0,66.66,Deccan Chargers
2,indian-premier-league-2012-520932,deccan-chargers-vs-kings-xi-punjab-53rd-match-548359,Akshath Reddy,st Saini b Chawla,24,13,24,2,1,184.61,Deccan Chargers
2,indian-premier-league-2012-520932,deccan-chargers-vs-kings-xi-punjab-53rd-match-548359,Abhishek Jhunjhunwala,run out (Marsh),19,20,25,0,1,95.00,Deccan Chargers
2,indian-premier-league-2012-520932,deccan-chargers-vs-kings-xi-punjab-53rd-match-548359,Ashish Reddy,c Marsh b Awana,8,8,8,1,0,100.00,Deccan Chargers
2,indian-premier-league-2012-520932,deccan-chargers-vs-kings-xi-punjab-53rd-match-548359,Rusty Theron,not out ,7,6,11,1,0,116.66,Deccan Chargers
2,indian-premier-league-2012-520932,deccan-chargers-vs-kings-xi-punjab-53rd-match-548359,Amit Mishra,not out ,8,5,6,1,0,160.00,Deccan Chargers
