innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2012-520932,delhi-daredevils-vs-kings-xi-punjab-64th-match-548369,Mandeep Singh,c Sehwag b Aaron,21,12,23,5,0,175.00,Kings XI Punjab
1,indian-premier-league-2012-520932,delhi-daredevils-vs-kings-xi-punjab-64th-match-548369,Shaun Marsh,c Ojha b Aaron,13,15,13,3,0,86.66,Kings XI Punjab
1,indian-premier-league-2012-520932,delhi-daredevils-vs-kings-xi-punjab-64th-match-548369,Nitin Saini,c Sehwag b Yadav,15,15,18,2,0,100.00,Kings XI Punjab
1,indian-premier-league-2012-520932,delhi-daredevils-vs-kings-xi-punjab-64th-match-548369,David Hussey (c),not out ,40,35,69,5,1,114.28,Kings XI Punjab
1,indian-premier-league-2012-520932,delhi-daredevils-vs-kings-xi-punjab-64th-match-548369,David Miller,run out (Negi),4,7,11,0,0,57.14,Kings XI Punjab
1,indian-premier-league-2012-520932,delhi-daredevils-vs-kings-xi-punjab-64th-match-548369,Azhar Mahmood,c Pathan b Yadav,9,7,9,1,0,128.57,Kings XI Punjab
1,indian-premier-league-2012-520932,delhi-daredevils-vs-kings-xi-punjab-64th-match-548369,Gurkeerat Singh Mann,st Ojha b Negi,8,5,3,2,0,160.00,Kings XI Punjab
1,indian-premier-league-2012-520932,delhi-daredevils-vs-kings-xi-punjab-64th-match-548369,Piyush Chawla,c Ojha b Yadav,10,14,20,0,0,71.42,Kings XI Punjab
1,indian-premier-league-2012-520932,delhi-daredevils-vs-kings-xi-punjab-64th-match-548369,Praveen Kumar,run out (Aaron),8,5,4,1,0,160.00,Kings XI Punjab
1,indian-premier-league-2012-520932,delhi-daredevils-vs-kings-xi-punjab-64th-match-548369,Parvinder Awana,not out ,4,5,8,0,0,80.00,Kings XI Punjab
2,indian-premier-league-2012-520932,delhi-daredevils-vs-kings-xi-punjab-64th-match-548369,David Warner,c Azhar Mahmood b Kumar,14,8,10,3,0,175.00,Delhi Daredevils
2,indian-premier-league-2012-520932,delhi-daredevils-vs-kings-xi-punjab-64th-match-548369,Virender Sehwag (c), b Awana,8,9,15,0,1,88.88,Delhi Daredevils
2,indian-premier-league-2012-520932,delhi-daredevils-vs-kings-xi-punjab-64th-match-548369,Venugopal Rao,c Saini b Awana,7,7,14,1,0,100.00,Delhi Daredevils
2,indian-premier-league-2012-520932,delhi-daredevils-vs-kings-xi-punjab-64th-match-548369,Mahela Jayawardene,not out ,56,49,71,8,0,114.28,Delhi Daredevils
2,indian-premier-league-2012-520932,delhi-daredevils-vs-kings-xi-punjab-64th-match-548369,Ross Taylor,c Saini b Awana,0,2,1,0,0,0.00,Delhi Daredevils
2,indian-premier-league-2012-520932,delhi-daredevils-vs-kings-xi-punjab-64th-match-548369,Naman Ojha,c Mandeep Singh b Chawla,34,29,33,3,2,117.24,Delhi Daredevils
2,indian-premier-league-2012-520932,delhi-daredevils-vs-kings-xi-punjab-64th-match-548369,Irfan Pathan,not out ,19,10,25,3,0,190.00,Delhi Daredevils
