innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2012-520932,delhi-daredevils-vs-mumbai-indians-36th-match-548342,Mahela Jayawardene,c Sharma b Peterson,55,42,65,8,0,130.95,Delhi Daredevils
1,indian-premier-league-2012-520932,delhi-daredevils-vs-mumbai-indians-36th-match-548342,Virender Sehwag (c),c Singh b Peterson,73,39,76,8,4,187.17,Delhi Daredevils
1,indian-premier-league-2012-520932,delhi-daredevils-vs-mumbai-indians-36th-match-548342,Kevin Pietersen,not out ,50,26,37,6,3,192.30,Delhi Daredevils
1,indian-premier-league-2012-520932,delhi-daredevils-vs-mumbai-indians-36th-match-548342,Irfan Pathan,c sub (NLTC Perera) b Peterson,0,1,1,0,0,0.00,Delhi Daredevils
1,indian-premier-league-2012-520932,delhi-daredevils-vs-mumbai-indians-36th-match-548342,Ross Taylor,lbw b Malinga,15,7,12,0,2,214.28,Delhi Daredevils
1,indian-premier-league-2012-520932,delhi-daredevils-vs-mumbai-indians-36th-match-548342,Yogesh Nagar,lbw b Malinga,0,1,1,0,0,0.00,Delhi Daredevils
1,indian-premier-league-2012-520932,delhi-daredevils-vs-mumbai-indians-36th-match-548342,Naman Ojha,not out ,5,4,9,0,0,125.00,Delhi Daredevils
2,indian-premier-league-2012-520932,delhi-daredevils-vs-mumbai-indians-36th-match-548342,Aiden Blizzard,c Jayawardene b Pathan,0,3,1,0,0,0.00,Mumbai Indians
2,indian-premier-league-2012-520932,delhi-daredevils-vs-mumbai-indians-36th-match-548342,Sachin Tendulkar,c Pietersen b Morkel,7,7,9,0,1,100.00,Mumbai Indians
2,indian-premier-league-2012-520932,delhi-daredevils-vs-mumbai-indians-36th-match-548342,Rohit Sharma,c Agarkar b Pathan,12,6,11,1,1,200.00,Mumbai Indians
2,indian-premier-league-2012-520932,delhi-daredevils-vs-mumbai-indians-36th-match-548342,Dinesh Karthik, b Agarkar,40,28,47,7,0,142.85,Mumbai Indians
2,indian-premier-league-2012-520932,delhi-daredevils-vs-mumbai-indians-36th-match-548342,Ambati Rayudu,c Jayawardene b Nadeem,62,39,53,5,3,158.97,Mumbai Indians
2,indian-premier-league-2012-520932,delhi-daredevils-vs-mumbai-indians-36th-match-548342,Kieron Pollard, b Nadeem,16,9,11,1,1,177.77,Mumbai Indians
2,indian-premier-league-2012-520932,delhi-daredevils-vs-mumbai-indians-36th-match-548342,Robin Peterson,run out (Jayawardene/Ojha),2,2,8,0,0,100.00,Mumbai Indians
2,indian-premier-league-2012-520932,delhi-daredevils-vs-mumbai-indians-36th-match-548342,Harbhajan Singh (c),c Pathan b Yadav,15,12,21,2,0,125.00,Mumbai Indians
2,indian-premier-league-2012-520932,delhi-daredevils-vs-mumbai-indians-36th-match-548342,Lasith Malinga, b Yadav,11,13,16,1,0,84.61,Mumbai Indians
2,indian-premier-league-2012-520932,delhi-daredevils-vs-mumbai-indians-36th-match-548342,RP Singh,not out ,1,1,1,0,0,100.00,Mumbai Indians
