innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2012-520932,kings-xi-punjab-vs-deccan-chargers-61st-match-548366,Praveen Kumar,4,0,31,1,7.75,9,4,0,0,0,Kings XI Punjab
1,indian-premier-league-2012-520932,kings-xi-punjab-vs-deccan-chargers-61st-match-548366,David Hussey,1,0,14,0,14.00,1,1,1,1,0,Kings XI Punjab
1,indian-premier-league-2012-520932,kings-xi-punjab-vs-deccan-chargers-61st-match-548366,Ryan Harris,4,0,32,0,8.00,7,3,1,0,0,Kings XI Punjab
1,indian-premier-league-2012-520932,kings-xi-punjab-vs-deccan-chargers-61st-match-548366,Parvinder Awana,4,0,41,1,10.25,7,1,3,1,0,Kings XI Punjab
1,indian-premier-league-2012-520932,kings-xi-punjab-vs-deccan-chargers-61st-match-548366,Azhar Mahmood,4,0,39,2,9.75,4,4,0,0,1,Kings XI Punjab
1,indian-premier-league-2012-520932,kings-xi-punjab-vs-deccan-chargers-61st-match-548366,Piyush Chawla,3,0,27,0,9.00,4,2,1,0,0,Kings XI Punjab
2,indian-premier-league-2012-520932,kings-xi-punjab-vs-deccan-chargers-61st-match-548366,Dale Steyn,4,0,26,2,6.50,11,4,0,0,0,Deccan Chargers
2,indian-premier-league-2012-520932,kings-xi-punjab-vs-deccan-chargers-61st-match-548366,TP Sudhindra,4,0,47,0,11.75,5,3,3,1,0,Deccan Chargers
2,indian-premier-league-2012-520932,kings-xi-punjab-vs-deccan-chargers-61st-match-548366,Dan Christian,4,0,31,2,7.75,10,3,1,0,0,Deccan Chargers
2,indian-premier-league-2012-520932,kings-xi-punjab-vs-deccan-chargers-61st-match-548366,Abhishek Jhunjhunwala,1,0,13,0,13.00,2,3,0,0,0,Deccan Chargers
2,indian-premier-league-2012-520932,kings-xi-punjab-vs-deccan-chargers-61st-match-548366,Manpreet Gony,4,0,40,1,10.00,8,5,1,1,0,Deccan Chargers
2,indian-premier-league-2012-520932,kings-xi-punjab-vs-deccan-chargers-61st-match-548366,Amit Mishra,3,0,31,1,10.33,5,2,2,0,0,Deccan Chargers
