innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2012-520932,kings-xi-punjab-vs-kolkata-knight-riders-22nd-match-548328,Brett Lee,4,0,26,2,6.50,10,3,0,1,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kings-xi-punjab-vs-kolkata-knight-riders-22nd-match-548328,Jacques Kallis,3,0,23,0,7.66,3,2,0,0,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kings-xi-punjab-vs-kolkata-knight-riders-22nd-match-548328,Sunil Narine,4,0,24,2,6.00,11,2,1,0,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kings-xi-punjab-vs-kolkata-knight-riders-22nd-match-548328,Lakshmipathy Balaji,4,0,20,1,5.00,9,1,0,0,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kings-xi-punjab-vs-kolkata-knight-riders-22nd-match-548328,Yusuf Pathan,1,0,7,0,7.00,2,1,0,0,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kings-xi-punjab-vs-kolkata-knight-riders-22nd-match-548328,Rajat Bhatia,4,0,23,1,5.75,5,0,0,1,0,Kolkata Knight Riders
2,indian-premier-league-2012-520932,kings-xi-punjab-vs-kolkata-knight-riders-22nd-match-548328,Praveen Kumar,3,1,23,0,7.66,10,4,0,0,0,Kings XI Punjab
2,indian-premier-league-2012-520932,kings-xi-punjab-vs-kolkata-knight-riders-22nd-match-548328,Dimitri Mascarenhas,4,0,23,0,5.75,10,2,0,0,0,Kings XI Punjab
2,indian-premier-league-2012-520932,kings-xi-punjab-vs-kolkata-knight-riders-22nd-match-548328,Harmeet Singh,2,0,26,0,13.00,4,2,2,1,0,Kings XI Punjab
2,indian-premier-league-2012-520932,kings-xi-punjab-vs-kolkata-knight-riders-22nd-match-548328,Piyush Chawla,4,0,19,2,4.75,11,1,0,0,0,Kings XI Punjab
2,indian-premier-league-2012-520932,kings-xi-punjab-vs-kolkata-knight-riders-22nd-match-548328,Bhargav Bhatt,3.3,0,32,0,9.14,5,3,1,0,0,Kings XI Punjab
