innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-chennai-super-kings-63rd-match-548368,Gautam Gambhir (c), b Jakati,62,43,50,6,3,144.18,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-chennai-super-kings-63rd-match-548368,Brendon McCullum,run out (Anirudha/Dhoni),37,29,46,4,1,127.58,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-chennai-super-kings-63rd-match-548368,Jacques Kallis,c Ashwin b Jakati,4,9,12,0,0,44.44,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-chennai-super-kings-63rd-match-548368,Manoj Tiwary,c Bravo b Jadeja,12,14,20,1,0,85.71,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-chennai-super-kings-63rd-match-548368,Yusuf Pathan,c Bravo b Ashwin,11,8,9,0,1,137.50,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-chennai-super-kings-63rd-match-548368,Debabrata Das,not out ,19,10,15,2,1,190.00,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-chennai-super-kings-63rd-match-548368,Laxmi Shukla,c Raina b Hilfenhaus,9,6,10,0,1,150.00,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-chennai-super-kings-63rd-match-548368,Rajat Bhatia,not out ,1,1,2,0,0,100.00,Kolkata Knight Riders
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-chennai-super-kings-63rd-match-548368,Michael Hussey,c Bhatia b Narine,56,39,47,4,4,143.58,Chennai Super Kings
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-chennai-super-kings-63rd-match-548368,Murali Vijay, b Narine,36,25,49,5,1,144.00,Chennai Super Kings
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-chennai-super-kings-63rd-match-548368,Suresh Raina,run out (McCullum/Bhatia),8,10,15,1,0,80.00,Chennai Super Kings
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-chennai-super-kings-63rd-match-548368,Faf du Plessis,c Tiwary b Bhatia,13,16,33,0,0,81.25,Chennai Super Kings
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-chennai-super-kings-63rd-match-548368,MS Dhoni (c)†, b Bhatia,28,21,31,3,1,133.33,Chennai Super Kings
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-chennai-super-kings-63rd-match-548368,Dwayne Bravo,not out ,11,7,16,0,1,157.14,Chennai Super Kings
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-chennai-super-kings-63rd-match-548368,Ravindra Jadeja,not out ,3,2,4,0,0,150.00,Chennai Super Kings
