innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Adam Gilchrist (c)†,c Tiwary b Narine,5,9,11,0,0,55.55,Kings XI Punjab
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Mandeep Singh,c ten Doeschate b Shakib Al Hasan,38,34,56,3,1,111.76,Kings XI Punjab
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Shaun Marsh, b Narine,1,6,7,0,0,16.66,Kings XI Punjab
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,David Hussey,run out (Gambhir/Bhatia),32,31,48,1,1,103.22,Kings XI Punjab
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Paras Dogra,c Das b Bhatia,6,11,23,0,0,54.54,Kings XI Punjab
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Bipul Sharma,c Bisla b Narine,12,11,18,0,1,109.09,Kings XI Punjab
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Dimitri Mascarenhas,c Bisla b Bhatia,0,1,2,0,0,0.00,Kings XI Punjab
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Piyush Chawla,not out ,13,8,14,0,1,162.50,Kings XI Punjab
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Praveen Kumar, b Narine,0,1,1,0,0,0.00,Kings XI Punjab
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Harmeet Singh,c Bisla b Narine,14,6,6,3,0,233.33,Kings XI Punjab
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Bhargav Bhatt,not out ,6,2,2,0,1,300.00,Kings XI Punjab
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Jacques Kallis,c Dogra b Bhatt,1,5,8,0,0,20.00,Kolkata Knight Riders
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Gautam Gambhir (c),c & b Mascarenhas,22,13,17,4,0,169.23,Kolkata Knight Riders
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Manvinder  Bisla, b Chawla,27,25,46,1,1,108.00,Kolkata Knight Riders
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Manoj Tiwary,lbw b Bhatt,20,27,33,1,0,74.07,Kolkata Knight Riders
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Shakib Al Hasan,c & b Chawla,4,8,14,0,0,50.00,Kolkata Knight Riders
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Yusuf Pathan, b Chawla,0,3,1,0,0,0.00,Kolkata Knight Riders
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Debabrata Das,not out ,35,23,35,3,1,152.17,Kolkata Knight Riders
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Ryan ten Doeschate, b Harmeet Singh,11,14,22,1,0,78.57,Kolkata Knight Riders
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-kings-xi-punjab-17th-match-548323,Rajat Bhatia,not out ,3,2,3,0,0,150.00,Kolkata Knight Riders
