innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-pune-warriors-47th-match-548353,Gautam Gambhir (c),c Manhas b Kartik,56,36,63,4,2,155.55,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-pune-warriors-47th-match-548353,Brendon McCullum,lbw b Mathews,42,43,70,5,1,97.67,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-pune-warriors-47th-match-548353,Yusuf Pathan,c Smith b Kumar,11,15,30,0,0,73.33,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-pune-warriors-47th-match-548353,Jacques Kallis, b Mathews,1,4,6,0,0,25.00,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-pune-warriors-47th-match-548353,Debabrata Das,not out ,15,18,26,0,1,83.33,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-pune-warriors-47th-match-548353,Laxmi Shukla,c Ganguly b Kumar,0,1,3,0,0,0.00,Kolkata Knight Riders
1,indian-premier-league-2012-520932,kolkata-knight-riders-vs-pune-warriors-47th-match-548353,Manoj Tiwary,not out ,6,4,5,0,0,150.00,Kolkata Knight Riders
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-pune-warriors-47th-match-548353,Robin Uthappa,c Shukla b de Lange,17,14,16,2,0,121.42,Pune Warriors
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-pune-warriors-47th-match-548353,Michael Clarke, b de Lange,1,2,5,0,0,50.00,Pune Warriors
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-pune-warriors-47th-match-548353,Manish Pandey,c Das b Iqbal Abdulla,17,15,23,2,0,113.33,Pune Warriors
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-pune-warriors-47th-match-548353,Steven Smith,lbw b Narine,14,16,21,1,0,87.50,Pune Warriors
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-pune-warriors-47th-match-548353,Mithun Manhas,c Iqbal Abdulla b Kallis,1,3,4,0,0,33.33,Pune Warriors
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-pune-warriors-47th-match-548353,Angelo Mathews,c Shukla b de Lange,35,27,59,0,3,129.62,Pune Warriors
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-pune-warriors-47th-match-548353,Sourav Ganguly (c),c Iqbal Abdulla b Bhatia,36,35,43,4,1,102.85,Pune Warriors
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-pune-warriors-47th-match-548353,Wayne Parnell,run out (Shukla/McCullum),1,2,4,0,0,50.00,Pune Warriors
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-pune-warriors-47th-match-548353,Bhuvneshwar Kumar,not out ,11,7,10,2,0,157.14,Pune Warriors
2,indian-premier-league-2012-520932,kolkata-knight-riders-vs-pune-warriors-47th-match-548353,Murali Kartik,not out ,0,0,3,0,0,-,Pune Warriors
