innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,Parthiv Patel,c Patel b Singh,19,18,24,1,1,105.55,Deccan Chargers
1,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,Shikhar Dhawan,st Karthik b Harbhajan Singh,29,32,56,3,0,90.62,Deccan Chargers
1,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,Ishank Jaggi,c Patel b Harbhajan Singh,2,7,9,0,0,28.57,Deccan Chargers
1,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,Cameron White (c),c Singh b Malinga,0,1,4,0,0,0.00,Deccan Chargers
1,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,Jean-Paul Duminy,not out ,25,24,54,3,0,104.16,Deccan Chargers
1,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,Dan Christian,c Sharma b Franklin,5,5,4,1,0,100.00,Deccan Chargers
1,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,Bharat Chipli,c Harbhajan Singh b Franklin,1,3,3,0,0,33.33,Deccan Chargers
1,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,Ashish Reddy,c Sharma b Patel,10,10,10,0,1,100.00,Deccan Chargers
1,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,Amit Mishra,c Franklin b Malinga,1,6,7,0,0,16.66,Deccan Chargers
1,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,Dale Steyn,c & b Malinga,3,5,8,0,0,60.00,Deccan Chargers
1,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,Veer Pratap Singh,c Sharma b Malinga,0,1,1,0,0,0.00,Deccan Chargers
2,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,Richard Levi, b Steyn,0,1,-,0,0,0.00,Mumbai Indians
2,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,Sachin Tendulkar,c Christian b Pratap Singh,14,14,-,1,0,100.00,Mumbai Indians
2,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,Rohit Sharma,c Jaggi b Duminy,42,48,-,4,1,87.50,Mumbai Indians
2,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,Dinesh Karthik,c Patel b Steyn,2,6,-,0,0,33.33,Mumbai Indians
2,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,James Franklin,c Patel b Ashish Reddy,13,20,-,0,0,65.00,Mumbai Indians
2,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,Ambati Rayudu,not out ,19,15,-,2,0,126.66,Mumbai Indians
2,indian-premier-league-2012-520932,mumbai-indians-vs-deccan-chargers-40th-match-548346,Robin Peterson,not out ,1,5,-,0,0,20.00,Mumbai Indians
