innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2012-520932,mumbai-indians-vs-delhi-daredevils-19th-match-548325,Irfan Pathan,4,1,12,1,3.00,16,1,0,0,0,Delhi Daredevils
1,indian-premier-league-2012-520932,mumbai-indians-vs-delhi-daredevils-19th-match-548325,Shahbaz Nadeem,4,0,16,2,4.00,15,2,0,1,0,Delhi Daredevils
1,indian-premier-league-2012-520932,mumbai-indians-vs-delhi-daredevils-19th-match-548325,Morne Morkel,4,1,22,2,5.50,15,4,0,1,0,Delhi Daredevils
1,indian-premier-league-2012-520932,mumbai-indians-vs-delhi-daredevils-19th-match-548325,Ajit Agarkar,3.2,0,27,2,8.10,8,3,1,1,0,Delhi Daredevils
1,indian-premier-league-2012-520932,mumbai-indians-vs-delhi-daredevils-19th-match-548325,Umesh Yadav,4,0,11,2,2.75,15,0,0,0,1,Delhi Daredevils
2,indian-premier-league-2012-520932,mumbai-indians-vs-delhi-daredevils-19th-match-548325,Munaf Patel,3,1,15,0,5.00,11,1,1,0,0,Mumbai Indians
2,indian-premier-league-2012-520932,mumbai-indians-vs-delhi-daredevils-19th-match-548325,RP Singh,4,0,24,2,6.00,13,3,0,3,0,Mumbai Indians
2,indian-premier-league-2012-520932,mumbai-indians-vs-delhi-daredevils-19th-match-548325,Clint McKay,3,0,24,0,8.00,5,3,0,0,0,Mumbai Indians
2,indian-premier-league-2012-520932,mumbai-indians-vs-delhi-daredevils-19th-match-548325,Pragyan Ojha,4,0,19,1,4.75,11,0,0,0,0,Mumbai Indians
2,indian-premier-league-2012-520932,mumbai-indians-vs-delhi-daredevils-19th-match-548325,Kieron Pollard,0.5,0,6,0,7.20,2,0,0,3,0,Mumbai Indians
