innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2012-520932,mumbai-indians-vs-rajasthan-royals-12th-match-548317,Ankeet Chavan,4,0,41,1,10.25,11,4,3,0,0,Rajasthan Royals
1,indian-premier-league-2012-520932,mumbai-indians-vs-rajasthan-royals-12th-match-548317,Amit Singh,4,0,29,2,7.25,9,1,2,0,0,Rajasthan Royals
1,indian-premier-league-2012-520932,mumbai-indians-vs-rajasthan-royals-12th-match-548317,Kevon Cooper,4,0,43,1,10.75,8,3,3,0,0,Rajasthan Royals
1,indian-premier-league-2012-520932,mumbai-indians-vs-rajasthan-royals-12th-match-548317,Brad Hogg,4,0,31,2,7.75,9,3,1,0,0,Rajasthan Royals
1,indian-premier-league-2012-520932,mumbai-indians-vs-rajasthan-royals-12th-match-548317,Siddharth Trivedi,3,0,25,0,8.33,1,1,1,0,0,Rajasthan Royals
1,indian-premier-league-2012-520932,mumbai-indians-vs-rajasthan-royals-12th-match-548317,Johan Botha,1,0,22,0,22.00,1,2,2,0,0,Rajasthan Royals
2,indian-premier-league-2012-520932,mumbai-indians-vs-rajasthan-royals-12th-match-548317,Lasith Malinga,4,0,13,2,3.25,17,1,0,0,0,Mumbai Indians
2,indian-premier-league-2012-520932,mumbai-indians-vs-rajasthan-royals-12th-match-548317,Munaf Patel,3.4,0,28,4,7.63,11,2,2,0,0,Mumbai Indians
2,indian-premier-league-2012-520932,mumbai-indians-vs-rajasthan-royals-12th-match-548317,James Franklin,2,0,22,0,11.00,4,2,1,1,0,Mumbai Indians
2,indian-premier-league-2012-520932,mumbai-indians-vs-rajasthan-royals-12th-match-548317,Pragyan Ojha,2,0,19,0,9.50,4,0,2,0,0,Mumbai Indians
2,indian-premier-league-2012-520932,mumbai-indians-vs-rajasthan-royals-12th-match-548317,Harbhajan Singh,4,0,43,0,10.75,5,4,2,0,0,Mumbai Indians
2,indian-premier-league-2012-520932,mumbai-indians-vs-rajasthan-royals-12th-match-548317,Kieron Pollard,4,0,44,4,11.00,8,3,3,1,1,Mumbai Indians
