innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2012-520932,rajasthan-royals-vs-deccan-chargers-20th-match-548326,Pankaj Singh,3,0,37,0,12.33,4,4,2,0,0,Rajasthan Royals
1,indian-premier-league-2012-520932,rajasthan-royals-vs-deccan-chargers-20th-match-548326,Amit Singh,4,0,55,0,13.75,8,6,2,4,0,Rajasthan Royals
1,indian-premier-league-2012-520932,rajasthan-royals-vs-deccan-chargers-20th-match-548326,Johan Botha,4,0,29,0,7.25,7,3,0,0,0,Rajasthan Royals
1,indian-premier-league-2012-520932,rajasthan-royals-vs-deccan-chargers-20th-match-548326,Siddharth Trivedi,4,0,27,1,6.75,11,2,1,1,0,Rajasthan Royals
1,indian-premier-league-2012-520932,rajasthan-royals-vs-deccan-chargers-20th-match-548326,Brad Hogg,4,0,33,0,8.25,6,2,1,0,0,Rajasthan Royals
1,indian-premier-league-2012-520932,rajasthan-royals-vs-deccan-chargers-20th-match-548326,Brad Hodge,1,0,13,1,13.00,1,1,1,0,0,Rajasthan Royals
2,indian-premier-league-2012-520932,rajasthan-royals-vs-deccan-chargers-20th-match-548326,Ankit Sharma,4,0,33,0,8.25,6,2,1,1,0,Deccan Chargers
2,indian-premier-league-2012-520932,rajasthan-royals-vs-deccan-chargers-20th-match-548326,Dale Steyn,3.4,0,44,0,12.00,6,9,0,0,0,Deccan Chargers
2,indian-premier-league-2012-520932,rajasthan-royals-vs-deccan-chargers-20th-match-548326,Dan Christian,4,0,43,1,10.75,7,4,2,2,0,Deccan Chargers
2,indian-premier-league-2012-520932,rajasthan-royals-vs-deccan-chargers-20th-match-548326,Anand Rajan,4,0,45,1,11.25,4,6,1,1,1,Deccan Chargers
2,indian-premier-league-2012-520932,rajasthan-royals-vs-deccan-chargers-20th-match-548326,Amit Mishra,4,0,32,3,8.00,6,1,2,1,0,Deccan Chargers
