innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2012-520932,rajasthan-royals-vs-kolkata-knight-riders-7th-match-548312,Brett Lee,4,0,29,2,7.25,14,2,2,0,1,Kolkata Knight Riders
1,indian-premier-league-2012-520932,rajasthan-royals-vs-kolkata-knight-riders-7th-match-548312,Jacques Kallis,4,0,35,0,8.75,9,6,0,1,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,rajasthan-royals-vs-kolkata-knight-riders-7th-match-548312,Sunil Narine,4,0,29,0,7.25,8,1,1,0,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,rajasthan-royals-vs-kolkata-knight-riders-7th-match-548312,Iqbal Abdulla,2,0,16,0,8.00,2,1,0,0,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,rajasthan-royals-vs-kolkata-knight-riders-7th-match-548312,Rajat Bhatia,4,0,27,1,6.75,6,2,0,0,0,Kolkata Knight Riders
1,indian-premier-league-2012-520932,rajasthan-royals-vs-kolkata-knight-riders-7th-match-548312,Yusuf Pathan,2,0,28,0,14.00,3,1,3,1,0,Kolkata Knight Riders
2,indian-premier-league-2012-520932,rajasthan-royals-vs-kolkata-knight-riders-7th-match-548312,Ankeet Chavan,4,0,23,2,5.75,13,0,2,1,0,Rajasthan Royals
2,indian-premier-league-2012-520932,rajasthan-royals-vs-kolkata-knight-riders-7th-match-548312,Amit Singh,4,0,30,2,7.50,9,1,2,0,0,Rajasthan Royals
2,indian-premier-league-2012-520932,rajasthan-royals-vs-kolkata-knight-riders-7th-match-548312,Kevon Cooper,4,0,28,3,7.00,8,3,0,2,0,Rajasthan Royals
2,indian-premier-league-2012-520932,rajasthan-royals-vs-kolkata-knight-riders-7th-match-548312,Siddharth Trivedi,4,1,25,2,6.25,10,3,0,0,0,Rajasthan Royals
2,indian-premier-league-2012-520932,rajasthan-royals-vs-kolkata-knight-riders-7th-match-548312,Johan Botha,4,0,34,1,8.50,9,3,1,2,0,Rajasthan Royals
