innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2012-520932,rajasthan-royals-vs-mumbai-indians-72nd-match-548377,RP Singh,3,0,32,0,10.66,8,4,1,3,1,Mumbai Indians
1,indian-premier-league-2012-520932,rajasthan-royals-vs-mumbai-indians-72nd-match-548377,Dhawal Kulkarni,4,1,18,3,4.50,15,1,0,3,0,Mumbai Indians
1,indian-premier-league-2012-520932,rajasthan-royals-vs-mumbai-indians-72nd-match-548377,Lasith Malinga,4,0,32,1,8.00,6,3,0,0,1,Mumbai Indians
1,indian-premier-league-2012-520932,rajasthan-royals-vs-mumbai-indians-72nd-match-548377,Harbhajan Singh,3,0,31,0,10.33,8,3,2,1,0,Mumbai Indians
1,indian-premier-league-2012-520932,rajasthan-royals-vs-mumbai-indians-72nd-match-548377,Dwayne Smith,2,0,13,0,6.50,5,0,1,0,0,Mumbai Indians
1,indian-premier-league-2012-520932,rajasthan-royals-vs-mumbai-indians-72nd-match-548377,Kieron Pollard,3,0,29,1,9.66,8,2,2,3,0,Mumbai Indians
1,indian-premier-league-2012-520932,rajasthan-royals-vs-mumbai-indians-72nd-match-548377,James Franklin,1,0,6,0,6.00,1,0,0,0,0,Mumbai Indians
2,indian-premier-league-2012-520932,rajasthan-royals-vs-mumbai-indians-72nd-match-548377,Ajit  Chandila,2,0,24,0,12.00,3,0,3,0,0,Rajasthan Royals
2,indian-premier-league-2012-520932,rajasthan-royals-vs-mumbai-indians-72nd-match-548377,Shane Watson,3,0,17,0,5.66,11,3,0,1,0,Rajasthan Royals
2,indian-premier-league-2012-520932,rajasthan-royals-vs-mumbai-indians-72nd-match-548377,Shaun Tait,4,0,40,0,10.00,5,4,0,6,0,Rajasthan Royals
2,indian-premier-league-2012-520932,rajasthan-royals-vs-mumbai-indians-72nd-match-548377,Brad Hogg,4,0,30,0,7.50,10,4,0,0,0,Rajasthan Royals
2,indian-premier-league-2012-520932,rajasthan-royals-vs-mumbai-indians-72nd-match-548377,Siddharth Trivedi,4,0,37,0,9.25,8,3,0,2,1,Rajasthan Royals
2,indian-premier-league-2012-520932,rajasthan-royals-vs-mumbai-indians-72nd-match-548377,Stuart Binny,1,0,13,0,13.00,0,2,0,0,0,Rajasthan Royals
