innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2012-520932,rajasthan-royals-vs-royal-challengers-bangalore-30th-match-548336,Virat Kohli,c Hodge b Pankaj Singh,16,16,14,2,0,100.00,Royal Challengers Bangalore
1,indian-premier-league-2012-520932,rajasthan-royals-vs-royal-challengers-bangalore-30th-match-548336,Tillakaratne Dilshan,not out ,76,58,95,10,1,131.03,Royal Challengers Bangalore
1,indian-premier-league-2012-520932,rajasthan-royals-vs-royal-challengers-bangalore-30th-match-548336,Mayank Agarwal,c Hodge b Hogg,15,17,30,2,0,88.23,Royal Challengers Bangalore
1,indian-premier-league-2012-520932,rajasthan-royals-vs-royal-challengers-bangalore-30th-match-548336,Chris Gayle,lbw b Hogg,4,8,7,0,0,50.00,Royal Challengers Bangalore
1,indian-premier-league-2012-520932,rajasthan-royals-vs-royal-challengers-bangalore-30th-match-548336,AB de Villiers,not out ,59,23,41,3,5,256.52,Royal Challengers Bangalore
2,indian-premier-league-2012-520932,rajasthan-royals-vs-royal-challengers-bangalore-30th-match-548336,Rahul Dravid (c),c Dilshan b Appanna,58,42,61,8,0,138.09,Rajasthan Royals
2,indian-premier-league-2012-520932,rajasthan-royals-vs-royal-challengers-bangalore-30th-match-548336,Ajinkya Rahane,c sub (LA Pomersbach) b Appanna,13,18,35,1,0,72.22,Rajasthan Royals
2,indian-premier-league-2012-520932,rajasthan-royals-vs-royal-challengers-bangalore-30th-match-548336,Owais Shah,st de Villiers b Appanna,10,15,15,0,1,66.66,Rajasthan Royals
2,indian-premier-league-2012-520932,rajasthan-royals-vs-royal-challengers-bangalore-30th-match-548336,Shreevats Goswami,c Agarwal b Appanna,1,2,3,0,0,50.00,Rajasthan Royals
2,indian-premier-league-2012-520932,rajasthan-royals-vs-royal-challengers-bangalore-30th-match-548336,Brad Hodge,c Agarwal b Patel,10,8,12,1,0,125.00,Rajasthan Royals
2,indian-premier-league-2012-520932,rajasthan-royals-vs-royal-challengers-bangalore-30th-match-548336,Stuart Binny,not out ,20,18,29,2,0,111.11,Rajasthan Royals
2,indian-premier-league-2012-520932,rajasthan-royals-vs-royal-challengers-bangalore-30th-match-548336,Kevon Cooper,c Vettori b Khan,8,6,7,2,0,133.33,Rajasthan Royals
2,indian-premier-league-2012-520932,rajasthan-royals-vs-royal-challengers-bangalore-30th-match-548336,Brad Hogg,c Vinay Kumar b Patel,13,11,14,1,0,118.18,Rajasthan Royals
