innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2013-586733,chennai-super-kings-vs-kings-xi-punjab-45th-match-598041,Wriddhiman Saha,c Marsh b Awana,18,18,15,1,1,100.00,Chennai Super Kings
1,indian-premier-league-2013-586733,chennai-super-kings-vs-kings-xi-punjab-45th-match-598041,Michael Hussey,st Gurkeerat Singh b Chawla,35,29,49,3,0,120.68,Chennai Super Kings
1,indian-premier-league-2013-586733,chennai-super-kings-vs-kings-xi-punjab-45th-match-598041,Suresh Raina,not out ,100,53,82,7,6,188.67,Chennai Super Kings
1,indian-premier-league-2013-586733,chennai-super-kings-vs-kings-xi-punjab-45th-match-598041,MS Dhoni (c)†,run out (Sathish/Gurkeerat Singh),2,2,5,0,0,100.00,Chennai Super Kings
1,indian-premier-league-2013-586733,chennai-super-kings-vs-kings-xi-punjab-45th-match-598041,Albie Morkel,c Miller b Awana,23,16,33,2,1,143.75,Chennai Super Kings
1,indian-premier-league-2013-586733,chennai-super-kings-vs-kings-xi-punjab-45th-match-598041,Ravindra Jadeja,not out ,5,2,8,1,0,250.00,Chennai Super Kings
2,indian-premier-league-2013-586733,chennai-super-kings-vs-kings-xi-punjab-45th-match-598041,Luke Pomersbach, b Sharma,7,9,9,1,0,77.77,Kings XI Punjab
2,indian-premier-league-2013-586733,chennai-super-kings-vs-kings-xi-punjab-45th-match-598041,Mandeep Singh,c Raina b Sharma,15,15,28,2,0,100.00,Kings XI Punjab
2,indian-premier-league-2013-586733,chennai-super-kings-vs-kings-xi-punjab-45th-match-598041,Shaun Marsh, b Bravo,73,51,77,8,2,143.13,Kings XI Punjab
2,indian-premier-league-2013-586733,chennai-super-kings-vs-kings-xi-punjab-45th-match-598041,David Hussey (c),c Bravo b Ashwin,22,16,20,2,1,137.50,Kings XI Punjab
2,indian-premier-league-2013-586733,chennai-super-kings-vs-kings-xi-punjab-45th-match-598041,David Miller,not out ,51,26,44,5,2,196.15,Kings XI Punjab
2,indian-premier-league-2013-586733,chennai-super-kings-vs-kings-xi-punjab-45th-match-598041,Gurkeerat Singh Mann,c Hussey b Bravo,0,1,1,0,0,0.00,Kings XI Punjab
2,indian-premier-league-2013-586733,chennai-super-kings-vs-kings-xi-punjab-45th-match-598041,Rajagopal Sathish,lbw b Bravo,0,1,2,0,0,0.00,Kings XI Punjab
2,indian-premier-league-2013-586733,chennai-super-kings-vs-kings-xi-punjab-45th-match-598041,Manpreet Gony,not out ,0,1,1,0,0,0.00,Kings XI Punjab
