innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2013-586733,chennai-super-kings-vs-kolkata-knight-riders-38th-match-598034,Wriddhiman Saha,c Morgan b Bhatia,39,23,47,4,2,169.56,Chennai Super Kings
1,indian-premier-league-2013-586733,chennai-super-kings-vs-kolkata-knight-riders-38th-match-598034,Michael Hussey,c Das b Narine,95,59,73,11,2,161.01,Chennai Super Kings
1,indian-premier-league-2013-586733,chennai-super-kings-vs-kolkata-knight-riders-38th-match-598034,Suresh Raina,run out (Das/Balaji),44,25,45,4,1,176.00,Chennai Super Kings
1,indian-premier-league-2013-586733,chennai-super-kings-vs-kolkata-knight-riders-38th-match-598034,MS Dhoni (c)†,not out ,18,12,22,1,1,150.00,Chennai Super Kings
1,indian-premier-league-2013-586733,chennai-super-kings-vs-kolkata-knight-riders-38th-match-598034,Ravindra Jadeja,not out ,1,1,2,0,0,100.00,Chennai Super Kings
2,indian-premier-league-2013-586733,chennai-super-kings-vs-kolkata-knight-riders-38th-match-598034,Manvinder  Bisla,run out (Hussey),92,61,99,14,2,150.81,Kolkata Knight Riders
2,indian-premier-league-2013-586733,chennai-super-kings-vs-kolkata-knight-riders-38th-match-598034,Gautam Gambhir (c), b Morris,14,8,14,3,0,175.00,Kolkata Knight Riders
2,indian-premier-league-2013-586733,chennai-super-kings-vs-kolkata-knight-riders-38th-match-598034,Brendon McCullum, b Sharma,6,7,15,1,0,85.71,Kolkata Knight Riders
2,indian-premier-league-2013-586733,chennai-super-kings-vs-kolkata-knight-riders-38th-match-598034,Jacques Kallis,c Nannes b Bravo,19,20,32,0,1,95.00,Kolkata Knight Riders
2,indian-premier-league-2013-586733,chennai-super-kings-vs-kolkata-knight-riders-38th-match-598034,Eoin Morgan,not out ,32,22,45,2,2,145.45,Kolkata Knight Riders
2,indian-premier-league-2013-586733,chennai-super-kings-vs-kolkata-knight-riders-38th-match-598034,Yusuf Pathan,not out ,3,3,9,0,0,100.00,Kolkata Knight Riders
