innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2013-586733,delhi-daredevils-vs-pune-warriors-39th-match-598035,Mahela Jayawardene (c),c Wright b Dinda,12,17,24,2,0,70.58,Delhi Daredevils
1,indian-premier-league-2013-586733,delhi-daredevils-vs-pune-warriors-39th-match-598035,Virender Sehwag,c Uthappa b Dinda,28,26,54,2,2,107.69,Delhi Daredevils
1,indian-premier-league-2013-586733,delhi-daredevils-vs-pune-warriors-39th-match-598035,Unmukt Chand,c Uthappa b Sharma,17,19,31,2,0,89.47,Delhi Daredevils
1,indian-premier-league-2013-586733,delhi-daredevils-vs-pune-warriors-39th-match-598035,David Warner,not out ,51,25,47,4,4,204.00,Delhi Daredevils
1,indian-premier-league-2013-586733,delhi-daredevils-vs-pune-warriors-39th-match-598035,Ben Rohrer,c Uthappa b Nayar,13,13,13,1,0,100.00,Delhi Daredevils
1,indian-premier-league-2013-586733,delhi-daredevils-vs-pune-warriors-39th-match-598035,Kedar Jadhav,c Manhas b Dinda,25,19,27,0,2,131.57,Delhi Daredevils
1,indian-premier-league-2013-586733,delhi-daredevils-vs-pune-warriors-39th-match-598035,Irfan Pathan,not out ,4,1,3,1,0,400.00,Delhi Daredevils
2,indian-premier-league-2013-586733,delhi-daredevils-vs-pune-warriors-39th-match-598035,Robin Uthappa,c Chand b Pathan,37,33,44,4,0,112.12,Pune Warriors
2,indian-premier-league-2013-586733,delhi-daredevils-vs-pune-warriors-39th-match-598035,Aaron Finch (c),c Jadhav b Pathan,37,33,47,5,0,112.12,Pune Warriors
2,indian-premier-league-2013-586733,delhi-daredevils-vs-pune-warriors-39th-match-598035,Yuvraj Singh,c Rohrer b Yadav,31,24,41,4,0,129.16,Pune Warriors
2,indian-premier-league-2013-586733,delhi-daredevils-vs-pune-warriors-39th-match-598035,Luke Wright,c Warner b Yadav,19,18,35,3,0,105.55,Pune Warriors
2,indian-premier-league-2013-586733,delhi-daredevils-vs-pune-warriors-39th-match-598035,Steven Smith,not out ,17,8,11,2,1,212.50,Pune Warriors
2,indian-premier-league-2013-586733,delhi-daredevils-vs-pune-warriors-39th-match-598035,Mithun Manhas,not out ,2,4,8,0,0,50.00,Pune Warriors
