innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2013-586733,delhi-daredevils-vs-rajasthan-royals-4th-match-598001,Irfan Pathan,4,0,31,0,7.75,8,3,1,0,0,Delhi Daredevils
1,indian-premier-league-2013-586733,delhi-daredevils-vs-rajasthan-royals-4th-match-598001,Ashish Nehra,4,0,35,2,8.75,10,3,1,1,0,Delhi Daredevils
1,indian-premier-league-2013-586733,delhi-daredevils-vs-rajasthan-royals-4th-match-598001,Umesh Yadav,4,0,24,4,6.00,11,3,0,0,0,Delhi Daredevils
1,indian-premier-league-2013-586733,delhi-daredevils-vs-rajasthan-royals-4th-match-598001,Andre Russell,3,0,31,0,10.33,4,3,1,1,0,Delhi Daredevils
1,indian-premier-league-2013-586733,delhi-daredevils-vs-rajasthan-royals-4th-match-598001,Shahbaz Nadeem,4,0,22,1,5.50,7,1,0,0,0,Delhi Daredevils
1,indian-premier-league-2013-586733,delhi-daredevils-vs-rajasthan-royals-4th-match-598001,Johan Botha,1,0,19,0,19.00,0,1,2,0,0,Delhi Daredevils
2,indian-premier-league-2013-586733,delhi-daredevils-vs-rajasthan-royals-4th-match-598001,Samuel Badree,4,0,34,0,8.50,8,3,1,1,0,Rajasthan Royals
2,indian-premier-league-2013-586733,delhi-daredevils-vs-rajasthan-royals-4th-match-598001,Sreesanth,4,0,18,1,4.50,15,3,0,0,0,Rajasthan Royals
2,indian-premier-league-2013-586733,delhi-daredevils-vs-rajasthan-royals-4th-match-598001,Siddharth Trivedi,4,0,35,0,8.75,4,2,1,0,0,Rajasthan Royals
2,indian-premier-league-2013-586733,delhi-daredevils-vs-rajasthan-royals-4th-match-598001,Kevon Cooper,4,0,30,3,7.50,8,2,0,2,0,Rajasthan Royals
2,indian-premier-league-2013-586733,delhi-daredevils-vs-rajasthan-royals-4th-match-598001,Rahul Shukla,3,0,27,1,9.00,5,3,0,3,0,Rajasthan Royals
2,indian-premier-league-2013-586733,delhi-daredevils-vs-rajasthan-royals-4th-match-598001,Stuart Binny,1,0,11,0,11.00,1,0,1,0,0,Rajasthan Royals
