innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2013-586733,delhi-daredevils-vs-sunrisers-hyderabad-14th-match-598010,Dale Steyn,4,1,11,2,2.75,17,1,0,1,0,Sunrisers Hyderabad
1,indian-premier-league-2013-586733,delhi-daredevils-vs-sunrisers-hyderabad-14th-match-598010,Ishant Sharma,4,0,35,2,8.75,11,2,2,2,1,Sunrisers Hyderabad
1,indian-premier-league-2013-586733,delhi-daredevils-vs-sunrisers-hyderabad-14th-match-598010,Thisara Perera,4,0,31,2,7.75,7,3,1,0,0,Sunrisers Hyderabad
1,indian-premier-league-2013-586733,delhi-daredevils-vs-sunrisers-hyderabad-14th-match-598010,Anand Rajan,4,0,20,1,5.00,11,1,0,1,0,Sunrisers Hyderabad
1,indian-premier-league-2013-586733,delhi-daredevils-vs-sunrisers-hyderabad-14th-match-598010,Amit Mishra,4,0,15,1,3.75,10,0,0,0,0,Sunrisers Hyderabad
2,indian-premier-league-2013-586733,delhi-daredevils-vs-sunrisers-hyderabad-14th-match-598010,Irfan Pathan,3.2,0,19,1,5.70,11,2,0,1,0,Delhi Daredevils
2,indian-premier-league-2013-586733,delhi-daredevils-vs-sunrisers-hyderabad-14th-match-598010,Siddarth Kaul,2,1,8,0,4.00,10,2,0,0,0,Delhi Daredevils
2,indian-premier-league-2013-586733,delhi-daredevils-vs-sunrisers-hyderabad-14th-match-598010,Morne Morkel,4,0,27,2,6.75,9,2,0,0,1,Delhi Daredevils
2,indian-premier-league-2013-586733,delhi-daredevils-vs-sunrisers-hyderabad-14th-match-598010,Umesh Yadav,3,0,32,0,10.66,5,6,0,0,0,Delhi Daredevils
2,indian-premier-league-2013-586733,delhi-daredevils-vs-sunrisers-hyderabad-14th-match-598010,Johan Botha,3,0,11,1,3.66,10,1,0,0,0,Delhi Daredevils
2,indian-premier-league-2013-586733,delhi-daredevils-vs-sunrisers-hyderabad-14th-match-598010,Shahbaz Nadeem,4,0,17,2,4.25,12,0,1,0,0,Delhi Daredevils
