innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2013-586733,kings-xi-punjab-vs-chennai-super-kings-11th-match-598007,Mandeep Singh,c Bravo b Nannes,9,10,13,1,0,90.00,Kings XI Punjab
1,indian-premier-league-2013-586733,kings-xi-punjab-vs-chennai-super-kings-11th-match-598007,Adam Gilchrist (c)†,c Hussey b Nannes,9,6,10,2,0,150.00,Kings XI Punjab
1,indian-premier-league-2013-586733,kings-xi-punjab-vs-chennai-super-kings-11th-match-598007,Manan Vohra,c Hussey b Jadeja,16,11,20,3,0,145.45,Kings XI Punjab
1,indian-premier-league-2013-586733,kings-xi-punjab-vs-chennai-super-kings-11th-match-598007,David Hussey,c Bravo b Ashwin,41,36,45,4,1,113.88,Kings XI Punjab
1,indian-premier-league-2013-586733,kings-xi-punjab-vs-chennai-super-kings-11th-match-598007,Gurkeerat Singh Mann,c Nannes b Bravo,31,26,30,3,0,119.23,Kings XI Punjab
1,indian-premier-league-2013-586733,kings-xi-punjab-vs-chennai-super-kings-11th-match-598007,Azhar Mahmood,c Ashwin b Morris,8,7,13,0,0,114.28,Kings XI Punjab
1,indian-premier-league-2013-586733,kings-xi-punjab-vs-chennai-super-kings-11th-match-598007,Rajagopal Sathish,c Morris b Bravo,8,6,12,1,0,133.33,Kings XI Punjab
1,indian-premier-league-2013-586733,kings-xi-punjab-vs-chennai-super-kings-11th-match-598007,Piyush Chawla,c Vijay b Bravo,4,5,6,1,0,80.00,Kings XI Punjab
1,indian-premier-league-2013-586733,kings-xi-punjab-vs-chennai-super-kings-11th-match-598007,Ryan Harris,c Bravo b Morris,0,2,5,0,0,0.00,Kings XI Punjab
1,indian-premier-league-2013-586733,kings-xi-punjab-vs-chennai-super-kings-11th-match-598007,Praveen Kumar,run out (Dhoni),3,5,9,0,0,60.00,Kings XI Punjab
1,indian-premier-league-2013-586733,kings-xi-punjab-vs-chennai-super-kings-11th-match-598007,Parvinder Awana,not out ,1,5,6,0,0,20.00,Kings XI Punjab
2,indian-premier-league-2013-586733,kings-xi-punjab-vs-chennai-super-kings-11th-match-598007,Murali Vijay,not out ,50,50,77,3,1,100.00,Chennai Super Kings
2,indian-premier-league-2013-586733,kings-xi-punjab-vs-chennai-super-kings-11th-match-598007,Michael Hussey,not out ,86,54,77,11,2,159.25,Chennai Super Kings
