innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2013-586733,kings-xi-punjab-vs-sunrisers-hyderabad-59th-match-598056,Praveen Kumar,4,0,32,0,8.00,9,3,1,1,0,Kings XI Punjab
1,indian-premier-league-2013-586733,kings-xi-punjab-vs-sunrisers-hyderabad-59th-match-598056,Parvinder Awana,4,0,35,1,8.75,11,4,2,0,0,Kings XI Punjab
1,indian-premier-league-2013-586733,kings-xi-punjab-vs-sunrisers-hyderabad-59th-match-598056,Harmeet Singh,4,0,39,1,9.75,8,4,2,0,0,Kings XI Punjab
1,indian-premier-league-2013-586733,kings-xi-punjab-vs-sunrisers-hyderabad-59th-match-598056,Sandeep Sharma,4,0,21,3,5.25,13,3,0,0,0,Kings XI Punjab
1,indian-premier-league-2013-586733,kings-xi-punjab-vs-sunrisers-hyderabad-59th-match-598056,Piyush Chawla,4,0,20,1,5.00,10,0,0,0,0,Kings XI Punjab
2,indian-premier-league-2013-586733,kings-xi-punjab-vs-sunrisers-hyderabad-59th-match-598056,Dale Steyn,4,0,20,2,5.00,13,2,0,1,0,Sunrisers Hyderabad
2,indian-premier-league-2013-586733,kings-xi-punjab-vs-sunrisers-hyderabad-59th-match-598056,Ishant Sharma,3,0,22,0,7.33,10,4,0,0,0,Sunrisers Hyderabad
2,indian-premier-league-2013-586733,kings-xi-punjab-vs-sunrisers-hyderabad-59th-match-598056,Thisara Perera,4,0,19,1,4.75,12,2,0,0,0,Sunrisers Hyderabad
2,indian-premier-league-2013-586733,kings-xi-punjab-vs-sunrisers-hyderabad-59th-match-598056,Hanuma Vihari,2,0,5,0,2.50,8,0,0,1,0,Sunrisers Hyderabad
2,indian-premier-league-2013-586733,kings-xi-punjab-vs-sunrisers-hyderabad-59th-match-598056,Daren Sammy,4,0,22,4,5.50,12,1,1,0,0,Sunrisers Hyderabad
2,indian-premier-league-2013-586733,kings-xi-punjab-vs-sunrisers-hyderabad-59th-match-598056,Karn Sharma,1,0,6,0,6.00,3,0,0,0,0,Sunrisers Hyderabad
2,indian-premier-league-2013-586733,kings-xi-punjab-vs-sunrisers-hyderabad-59th-match-598056,Amit Mishra,2,0,20,0,10.00,5,1,2,0,0,Sunrisers Hyderabad
