innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,Dwayne Smith,c & b Bravo,22,24,37,2,1,91.66,Mumbai Indians
1,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,Sachin Tendulkar,lbw b Jadeja,15,18,32,1,1,83.33,Mumbai Indians
1,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,Dinesh Karthik,c Raina b Jadeja,23,23,24,2,1,100.00,Mumbai Indians
1,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,Kieron Pollard,c Raina b Jadeja,1,3,9,0,0,33.33,Mumbai Indians
1,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,Rohit Sharma (c),not out ,39,30,45,3,1,130.00,Mumbai Indians
1,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,Ambati Rayudu, b Ashwin,10,11,13,1,0,90.90,Mumbai Indians
1,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,Harbhajan Singh,not out ,25,11,24,2,2,227.27,Mumbai Indians
2,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,Michael Hussey,c Smith b Ojha,22,26,53,1,1,84.61,Chennai Super Kings
2,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,Murali Vijay, b Johnson,2,4,11,0,0,50.00,Chennai Super Kings
2,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,Suresh Raina,c Pollard b Johnson,0,1,3,0,0,0.00,Chennai Super Kings
2,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,S Badrinath,lbw b Johnson,0,3,2,0,0,0.00,Chennai Super Kings
2,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,Dwayne Bravo,c Rayudu b Suyal,9,7,6,2,0,128.57,Chennai Super Kings
2,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,Ravichandran Ashwin, b Harbhajan Singh,2,8,12,0,0,25.00,Chennai Super Kings
2,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,MS Dhoni (c)†,c Pollard b Ojha,10,12,23,1,0,83.33,Chennai Super Kings
2,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,Ravindra Jadeja,c Rayudu b Ojha,20,16,30,2,0,125.00,Chennai Super Kings
2,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,Chris Morris, b Malinga,1,4,4,0,0,25.00,Chennai Super Kings
2,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,Mohit Sharma,c Suyal b Malinga,0,3,1,0,0,0.00,Chennai Super Kings
2,indian-premier-league-2013-586733,mumbai-indians-vs-chennai-super-kings-49th-match-598046,Ben Laughlin,not out ,4,8,14,0,0,50.00,Chennai Super Kings
