innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Dwayne Smith,c McLaren b Iqbal Abdulla,47,53,62,7,0,88.67,Mumbai Indians
1,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Sachin Tendulkar, b Bhatia,48,28,49,8,0,171.42,Mumbai Indians
1,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Dinesh Karthik,not out ,34,18,37,3,2,188.88,Mumbai Indians
1,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Rohit Sharma (c),c Morgan b McLaren,16,11,18,1,1,145.45,Mumbai Indians
1,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Kieron Pollard,c Narine b McLaren,4,4,3,1,0,100.00,Mumbai Indians
1,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Ambati Rayudu,run out (Balaji/Bisla),0,0,2,0,0,-,Mumbai Indians
1,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Harbhajan Singh,run out (Pathan),0,0,2,0,0,-,Mumbai Indians
1,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Mitchell Johnson,not out ,10,6,7,0,1,166.66,Mumbai Indians
2,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Manvinder  Bisla,st Karthik b Ojha,17,19,28,3,0,89.47,Kolkata Knight Riders
2,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Gautam Gambhir (c), b Johnson,0,2,2,0,0,0.00,Kolkata Knight Riders
2,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Jacques Kallis,c Ahmed b Harbhajan Singh,24,26,42,2,1,92.30,Kolkata Knight Riders
2,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Yusuf Pathan, b Ojha,13,8,9,1,1,162.50,Kolkata Knight Riders
2,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Eoin Morgan,c Sharma b Ahmed,5,10,16,0,0,50.00,Kolkata Knight Riders
2,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Debabrata Das,c & b Harbhajan Singh,23,17,15,2,2,135.29,Kolkata Knight Riders
2,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Ryan McLaren,run out (Sharma/Karthik),1,3,8,0,0,33.33,Kolkata Knight Riders
2,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Rajat Bhatia,c Malinga b Harbhajan Singh,4,5,8,0,0,80.00,Kolkata Knight Riders
2,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Iqbal Abdulla,not out ,6,11,20,0,0,54.54,Kolkata Knight Riders
2,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Sunil Narine,c Karthik b Johnson,3,6,16,0,0,50.00,Kolkata Knight Riders
2,indian-premier-league-2013-586733,mumbai-indians-vs-kolkata-knight-riders-53rd-match-598050,Lakshmipathy Balaji, b Malinga,0,3,3,0,0,0.00,Kolkata Knight Riders
