innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Ricky Ponting (c),c Nayar b Yuvraj Singh,14,17,33,2,0,82.35,Mumbai Indians
1,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Sachin Tendulkar,c Marsh b Finch,44,29,38,7,1,151.72,Mumbai Indians
1,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Dinesh Karthik,lbw b Marsh,41,29,38,4,1,141.37,Mumbai Indians
1,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Rohit Sharma,not out ,62,32,56,3,5,193.75,Mumbai Indians
1,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Kieron Pollard,not out ,19,14,22,1,1,135.71,Mumbai Indians
2,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Aaron Finch, b Johnson,0,1,1,0,0,0.00,Pune Warriors
2,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Robin Uthappa, b Johnson,7,9,14,1,0,77.77,Pune Warriors
2,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Ross Taylor,run out (Rayudu/Ojha),4,5,6,1,0,80.00,Pune Warriors
2,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Yuvraj Singh,c Dhawan b Pollard,24,16,43,1,2,150.00,Pune Warriors
2,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Tirumalasetti Suman,c Pollard b Harbhajan Singh,23,15,12,5,0,153.33,Pune Warriors
2,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Angelo Mathews (c),c Sharma b Ojha,19,18,36,0,1,105.55,Pune Warriors
2,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Mitchell Marsh,c Dhawan b Johnson,38,26,34,2,2,146.15,Pune Warriors
2,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Abhishek Nayar,c Pollard b Malinga,6,7,14,0,0,85.71,Pune Warriors
2,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Bhuvneshwar Kumar,not out ,6,11,19,0,0,54.54,Pune Warriors
2,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Rahul Sharma,not out ,10,12,12,1,0,83.33,Pune Warriors
