innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Aaron Finch,2,0,11,1,5.50,5,1,0,0,0,Pune Warriors
1,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Bhuvneshwar Kumar,2,0,16,0,8.00,5,3,0,0,0,Pune Warriors
1,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Ashok Dinda,4,0,63,0,15.75,4,5,4,1,1,Pune Warriors
1,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Rahul Sharma,4,0,27,0,6.75,11,3,1,0,0,Pune Warriors
1,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Angelo Mathews,4,0,29,0,7.25,6,1,1,0,0,Pune Warriors
1,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Yuvraj Singh,2,0,13,1,6.50,5,2,0,0,0,Pune Warriors
1,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Mitchell Marsh,2,0,24,1,12.00,5,2,2,1,0,Pune Warriors
2,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Mitchell Johnson,4,0,33,3,8.25,12,5,1,1,0,Mumbai Indians
2,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Pragyan Ojha,2,0,20,1,10.00,4,1,1,2,0,Mumbai Indians
2,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Harbhajan Singh,3,0,20,1,6.66,9,2,1,0,0,Mumbai Indians
2,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Lasith Malinga,4,0,22,1,5.50,9,2,0,0,0,Mumbai Indians
2,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Rishi Dhawan,4,0,27,0,6.75,8,1,1,0,0,Mumbai Indians
2,indian-premier-league-2013-586733,mumbai-indians-vs-pune-warriors-15th-match-598011,Kieron Pollard,3,0,19,1,6.33,8,0,1,1,0,Mumbai Indians
