innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2013-586733,pune-warriors-vs-chennai-super-kings-42nd-match-598038,Rahul Sharma,4,0,27,1,6.75,9,3,0,0,0,Pune Warriors
1,indian-premier-league-2013-586733,pune-warriors-vs-chennai-super-kings-42nd-match-598038,Bhuvneshwar Kumar,4,1,24,0,6.00,9,3,0,0,0,Pune Warriors
1,indian-premier-league-2013-586733,pune-warriors-vs-chennai-super-kings-42nd-match-598038,Kane Richardson,4,0,35,1,8.75,7,2,2,0,0,Pune Warriors
1,indian-premier-league-2013-586733,pune-warriors-vs-chennai-super-kings-42nd-match-598038,Ashok Dinda,4,0,41,0,10.25,5,3,2,0,0,Pune Warriors
1,indian-premier-league-2013-586733,pune-warriors-vs-chennai-super-kings-42nd-match-598038,Abhishek Nayar,3,0,23,0,7.66,3,1,0,1,0,Pune Warriors
1,indian-premier-league-2013-586733,pune-warriors-vs-chennai-super-kings-42nd-match-598038,Luke Wright,1,0,12,1,12.00,2,1,1,0,0,Pune Warriors
2,indian-premier-league-2013-586733,pune-warriors-vs-chennai-super-kings-42nd-match-598038,Ravindra Jadeja,4,0,26,1,6.50,14,1,2,0,1,Chennai Super Kings
2,indian-premier-league-2013-586733,pune-warriors-vs-chennai-super-kings-42nd-match-598038,Albie Morkel,3,0,20,0,6.66,9,2,1,0,0,Chennai Super Kings
2,indian-premier-league-2013-586733,pune-warriors-vs-chennai-super-kings-42nd-match-598038,Mohit Sharma,4,0,21,3,5.25,11,2,0,1,0,Chennai Super Kings
2,indian-premier-league-2013-586733,pune-warriors-vs-chennai-super-kings-42nd-match-598038,Chris Morris,3,0,21,1,7.00,7,2,0,1,0,Chennai Super Kings
2,indian-premier-league-2013-586733,pune-warriors-vs-chennai-super-kings-42nd-match-598038,Ravichandran Ashwin,2,0,20,0,10.00,5,2,1,0,0,Chennai Super Kings
2,indian-premier-league-2013-586733,pune-warriors-vs-chennai-super-kings-42nd-match-598038,Dwayne Bravo,4,0,18,1,4.50,10,0,0,1,0,Chennai Super Kings
