innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2013-586733,rajasthan-royals-vs-chennai-super-kings-61st-match-598058,Michael Hussey, b Binny,40,40,49,6,0,100.00,Chennai Super Kings
1,indian-premier-league-2013-586733,rajasthan-royals-vs-chennai-super-kings-61st-match-598058,Murali Vijay,run out (Yagnik),55,50,79,6,0,110.00,Chennai Super Kings
1,indian-premier-league-2013-586733,rajasthan-royals-vs-chennai-super-kings-61st-match-598058,Suresh Raina,c Samson b Cooper,1,2,4,0,0,50.00,Chennai Super Kings
1,indian-premier-league-2013-586733,rajasthan-royals-vs-chennai-super-kings-61st-match-598058,MS Dhoni (c)†,c Watson b Cooper,2,3,2,0,0,66.66,Chennai Super Kings
1,indian-premier-league-2013-586733,rajasthan-royals-vs-chennai-super-kings-61st-match-598058,Ravindra Jadeja,not out ,12,14,32,0,0,85.71,Chennai Super Kings
1,indian-premier-league-2013-586733,rajasthan-royals-vs-chennai-super-kings-61st-match-598058,Dwayne Bravo,not out ,23,11,10,4,0,209.09,Chennai Super Kings
2,indian-premier-league-2013-586733,rajasthan-royals-vs-chennai-super-kings-61st-match-598058,Rahul Dravid (c),c Dhoni b Morris,22,28,44,2,0,78.57,Rajasthan Royals
2,indian-premier-league-2013-586733,rajasthan-royals-vs-chennai-super-kings-61st-match-598058,Ajinkya Rahane,c Vijay b Holder,9,10,14,1,0,90.00,Rajasthan Royals
2,indian-premier-league-2013-586733,rajasthan-royals-vs-chennai-super-kings-61st-match-598058,James Faulkner, b Holder,1,2,2,0,0,50.00,Rajasthan Royals
2,indian-premier-league-2013-586733,rajasthan-royals-vs-chennai-super-kings-61st-match-598058,Sanju Samson,c Dhoni b Sharma,0,5,4,0,0,0.00,Rajasthan Royals
2,indian-premier-league-2013-586733,rajasthan-royals-vs-chennai-super-kings-61st-match-598058,Shane Watson, b Bravo,70,34,56,6,6,205.88,Rajasthan Royals
2,indian-premier-league-2013-586733,rajasthan-royals-vs-chennai-super-kings-61st-match-598058,Stuart Binny,not out ,41,23,36,2,3,178.26,Rajasthan Royals
2,indian-premier-league-2013-586733,rajasthan-royals-vs-chennai-super-kings-61st-match-598058,Brad Hodge,not out ,0,1,1,0,0,0.00,Rajasthan Royals
