innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2013-586733,rajasthan-royals-vs-pune-warriors-50th-match-598047,Robin Uthappa,run out (Samson),54,41,68,8,1,131.70,Pune Warriors
1,indian-premier-league-2013-586733,rajasthan-royals-vs-pune-warriors-50th-match-598047,Aaron Finch (c), b Cooper,45,32,44,7,0,140.62,Pune Warriors
1,indian-premier-league-2013-586733,rajasthan-royals-vs-pune-warriors-50th-match-598047,Yuvraj Singh,c Cooper b Trivedi,15,11,16,1,1,136.36,Pune Warriors
1,indian-premier-league-2013-586733,rajasthan-royals-vs-pune-warriors-50th-match-598047,Mitchell Marsh,not out ,35,21,27,2,3,166.66,Pune Warriors
1,indian-premier-league-2013-586733,rajasthan-royals-vs-pune-warriors-50th-match-598047,Angelo Mathews,c Rahane b Faulkner,18,15,19,2,0,120.00,Pune Warriors
1,indian-premier-league-2013-586733,rajasthan-royals-vs-pune-warriors-50th-match-598047,Mahesh Rawat,not out ,0,0,1,0,0,-,Pune Warriors
2,indian-premier-league-2013-586733,rajasthan-royals-vs-pune-warriors-50th-match-598047,Rahul Dravid (c),c Marsh b Mathews,58,40,49,9,1,145.00,Rajasthan Royals
2,indian-premier-league-2013-586733,rajasthan-royals-vs-pune-warriors-50th-match-598047,Ajinkya Rahane,c Sharma b Kumar,67,48,73,6,2,139.58,Rajasthan Royals
2,indian-premier-league-2013-586733,rajasthan-royals-vs-pune-warriors-50th-match-598047,Shane Watson, b Parnell,5,5,14,1,0,100.00,Rajasthan Royals
2,indian-premier-league-2013-586733,rajasthan-royals-vs-pune-warriors-50th-match-598047,Brad Hodge,c Kumar b Parnell,4,5,16,0,0,80.00,Rajasthan Royals
2,indian-premier-league-2013-586733,rajasthan-royals-vs-pune-warriors-50th-match-598047,Stuart Binny,not out ,32,13,22,2,2,246.15,Rajasthan Royals
2,indian-premier-league-2013-586733,rajasthan-royals-vs-pune-warriors-50th-match-598047,Sanju Samson,c Birla b Parnell,10,6,10,2,0,166.66,Rajasthan Royals
2,indian-premier-league-2013-586733,rajasthan-royals-vs-pune-warriors-50th-match-598047,James Faulkner,not out ,3,2,3,0,0,150.00,Rajasthan Royals
