innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-chennai-super-kings-54th-match-598051,Dale Steyn,4,1,17,0,4.25,13,2,0,0,0,Sunrisers Hyderabad
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-chennai-super-kings-54th-match-598051,Ishant Sharma,4,0,66,0,16.50,5,6,5,3,0,Sunrisers Hyderabad
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-chennai-super-kings-54th-match-598051,Thisara Perera,4,0,45,3,11.25,8,6,1,0,1,Sunrisers Hyderabad
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-chennai-super-kings-54th-match-598051,Karn Sharma,2,0,19,0,9.50,4,0,2,1,0,Sunrisers Hyderabad
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-chennai-super-kings-54th-match-598051,Amit Mishra,4,0,41,0,10.25,3,3,1,0,1,Sunrisers Hyderabad
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-chennai-super-kings-54th-match-598051,Daren Sammy,2,0,33,0,16.50,1,4,1,1,1,Sunrisers Hyderabad
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-chennai-super-kings-54th-match-598051,Mohit Sharma,4,0,28,2,7.00,12,3,1,1,0,Chennai Super Kings
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-chennai-super-kings-54th-match-598051,Jason Holder,3,0,28,0,9.33,8,3,1,1,0,Chennai Super Kings
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-chennai-super-kings-54th-match-598051,Ravichandran Ashwin,4,0,23,1,5.75,8,2,0,1,0,Chennai Super Kings
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-chennai-super-kings-54th-match-598051,Suresh Raina,1,0,4,1,4.00,2,0,0,0,0,Chennai Super Kings
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-chennai-super-kings-54th-match-598051,Chris Morris,2,0,24,1,12.00,3,1,2,1,0,Chennai Super Kings
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-chennai-super-kings-54th-match-598051,Dwayne Bravo,4,0,25,1,6.25,9,1,1,0,0,Chennai Super Kings
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-chennai-super-kings-54th-match-598051,Ravindra Jadeja,2,0,14,0,7.00,6,1,1,0,0,Chennai Super Kings
