innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-mumbai-indians-43rd-match-598039,Dwayne Smith,lbw b Mishra,38,40,60,3,2,95.00,Mumbai Indians
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-mumbai-indians-43rd-match-598039,Sachin Tendulkar, b I Sharma,14,12,22,2,0,116.66,Mumbai Indians
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-mumbai-indians-43rd-match-598039,Dinesh Karthik,c KV Sharma b I Sharma,0,2,3,0,0,0.00,Mumbai Indians
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-mumbai-indians-43rd-match-598039,Rohit Sharma (c),c I Sharma b Mishra,22,22,29,2,0,100.00,Mumbai Indians
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-mumbai-indians-43rd-match-598039,Kieron Pollard,not out ,14,19,39,1,0,73.68,Mumbai Indians
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-mumbai-indians-43rd-match-598039,Ambati Rayudu,not out ,34,27,35,4,0,125.92,Mumbai Indians
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-mumbai-indians-43rd-match-598039,Akshath Reddy,c Smith b Johnson,7,9,12,1,0,77.77,Sunrisers Hyderabad
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-mumbai-indians-43rd-match-598039,Shikhar Dhawan,not out ,73,55,89,9,1,132.72,Sunrisers Hyderabad
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-mumbai-indians-43rd-match-598039,Kumar Sangakkara (c)†,c & b Harbhajan Singh,21,21,23,3,0,100.00,Sunrisers Hyderabad
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-mumbai-indians-43rd-match-598039,Hanuma Vihari,c Rayudu b Kulkarni,25,23,47,2,0,108.69,Sunrisers Hyderabad
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-mumbai-indians-43rd-match-598039,Daren Sammy,not out ,1,1,4,0,0,100.00,Sunrisers Hyderabad
