innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-rajasthan-royals-68th-match-598065,Brad Hodge,1,0,3,0,3.00,3,0,0,0,0,Rajasthan Royals
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-rajasthan-royals-68th-match-598065,James Faulkner,4,1,16,5,4.00,14,0,0,2,0,Rajasthan Royals
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-rajasthan-royals-68th-match-598065,Shane Watson,3,0,19,1,6.33,7,1,1,0,0,Rajasthan Royals
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-rajasthan-royals-68th-match-598065,Pravin Tambe,3,0,20,0,6.66,8,2,0,2,0,Rajasthan Royals
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-rajasthan-royals-68th-match-598065,Stuart Binny,1,0,9,0,9.00,2,1,0,0,0,Rajasthan Royals
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-rajasthan-royals-68th-match-598065,Siddharth Trivedi,4,0,20,1,5.00,9,0,0,0,0,Rajasthan Royals
1,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-rajasthan-royals-68th-match-598065,Kevon Cooper,4,0,39,0,9.75,4,3,1,0,0,Rajasthan Royals
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-rajasthan-royals-68th-match-598065,Dale Steyn,4,0,17,2,4.25,14,2,0,0,0,Sunrisers Hyderabad
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-rajasthan-royals-68th-match-598065,Ishant Sharma,4,0,22,0,5.50,13,1,1,1,0,Sunrisers Hyderabad
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-rajasthan-royals-68th-match-598065,Karn Sharma,4,0,33,2,8.25,8,2,2,0,0,Sunrisers Hyderabad
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-rajasthan-royals-68th-match-598065,Daren Sammy,1,0,4,0,4.00,3,0,0,0,0,Sunrisers Hyderabad
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-rajasthan-royals-68th-match-598065,Amit Mishra,4,0,8,2,2.00,18,0,0,0,0,Sunrisers Hyderabad
2,indian-premier-league-2013-586733,sunrisers-hyderabad-vs-rajasthan-royals-68th-match-598065,Thisara Perera,3,0,25,2,8.33,6,2,1,0,0,Sunrisers Hyderabad
