innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Robin Uthappa,c Markram b Washington Sundar,15,11,17,1,0,136.36,Chennai Super Kings
1,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Ruturaj Gaikwad, b Natarajan,16,13,28,3,0,123.07,Chennai Super Kings
1,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Moeen Ali,c Tripathi b Markram,48,35,59,3,2,137.14,Chennai Super Kings
1,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Ambati Rayudu,c Markram b Washington Sundar,27,27,42,4,0,100.00,Chennai Super Kings
1,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Shivam Dube,c Umran Malik b Natarajan,3,5,11,0,0,60.00,Chennai Super Kings
1,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Ravindra Jadeja (c),c Williamson b Kumar,23,15,29,2,1,153.33,Chennai Super Kings
1,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,MS Dhoni,c Umran Malik b Jansen,3,6,12,0,0,50.00,Chennai Super Kings
1,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Dwayne Bravo,not out ,8,5,16,1,0,160.00,Chennai Super Kings
1,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Chris Jordan,not out ,6,3,4,0,0,200.00,Chennai Super Kings
2,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Abhishek Sharma,c Jordan b Bravo,75,50,81,5,3,150.00,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Kane Williamson (c),c Ali b Mukesh Choudhary,32,40,53,2,1,80.00,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Rahul Tripathi,not out ,39,15,32,5,2,260.00,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Nicholas Pooran,not out ,5,2,4,1,0,250.00,Sunrisers Hyderabad
