innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Bhuvneshwar Kumar,4,0,36,1,9.00,9,3,0,4,0,Sunrisers Hyderabad
1,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Marco Jansen,4,0,30,1,7.50,11,4,0,0,0,Sunrisers Hyderabad
1,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Washington Sundar,4,0,21,2,5.25,7,1,0,0,0,Sunrisers Hyderabad
1,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,T Natarajan,4,0,30,2,7.50,6,2,1,1,0,Sunrisers Hyderabad
1,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Umran Malik,3,0,29,0,9.66,8,4,1,0,0,Sunrisers Hyderabad
1,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Aiden Markram,1,0,8,1,8.00,3,0,1,0,0,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Mukesh Choudhary,4,0,30,1,7.50,11,2,2,0,0,Chennai Super Kings
2,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Maheesh Theekshana,4,0,31,0,7.75,8,3,1,0,0,Chennai Super Kings
2,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Chris Jordan,3,0,34,0,11.33,5,3,2,0,1,Chennai Super Kings
2,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Ravindra Jadeja,3,0,21,0,7.00,4,1,0,0,0,Chennai Super Kings
2,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Moeen Ali,1,0,10,0,10.00,1,0,1,0,0,Chennai Super Kings
2,indian-premier-league-2022-1298423,chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063,Dwayne Bravo,2.4,0,29,1,10.87,4,4,0,3,0,Chennai Super Kings
