innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Ruturaj Gaikwad,c Manohar b Yash Dayal,73,48,83,5,5,152.08,Chennai Super Kings
1,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Robin Uthappa,lbw b Mohammed Shami,3,10,14,0,0,30.00,Chennai Super Kings
1,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Moeen Ali, b Joseph,1,3,16,0,0,33.33,Chennai Super Kings
1,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Ambati Rayudu,c Shankar b Joseph,46,31,43,4,2,148.38,Chennai Super Kings
1,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Shivam Dube,run out (Miller/Ferguson),19,17,30,2,0,111.76,Chennai Super Kings
1,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Ravindra Jadeja (c),not out ,22,12,20,0,2,183.33,Chennai Super Kings
2,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Wriddhiman Saha,c Gaikwad b Jadeja,11,18,38,0,0,61.11,Gujarat Titans
2,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Shubman Gill,c Uthappa b Mukesh Choudhary,0,1,8,0,0,0.00,Gujarat Titans
2,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Vijay Shankar,c Dhoni b Theekshana,0,2,4,0,0,0.00,Gujarat Titans
2,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Abhinav Manohar,c Ali b Theekshana,12,12,10,2,0,100.00,Gujarat Titans
2,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,David Miller,not out ,94,51,83,8,6,184.31,Gujarat Titans
2,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Rahul Tewatia,c Jadeja b Bravo,6,14,19,0,0,42.85,Gujarat Titans
2,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Rashid Khan (c),c Ali b Bravo,40,21,37,2,3,190.47,Gujarat Titans
2,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Alzarri Joseph,c Jordan b Bravo,0,1,2,0,0,0.00,Gujarat Titans
2,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Lockie Ferguson,not out ,0,0,9,0,0,-,Gujarat Titans
