innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Mohammed Shami,4,0,20,1,5.00,13,2,0,2,0,Gujarat Titans
1,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Yash Dayal,4,0,40,1,10.00,8,3,2,1,1,Gujarat Titans
1,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Alzarri Joseph,4,0,34,2,8.50,10,1,3,1,0,Gujarat Titans
1,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Lockie Ferguson,4,0,46,0,11.50,5,4,3,0,0,Gujarat Titans
1,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Rashid Khan,4,0,29,0,7.25,5,1,1,0,0,Gujarat Titans
2,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Mukesh Choudhary,3,0,18,1,6.00,10,3,0,1,0,Chennai Super Kings
2,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Maheesh Theekshana,4,0,24,2,6.00,8,1,1,0,0,Chennai Super Kings
2,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Chris Jordan,3.5,0,58,0,15.13,4,5,4,0,1,Chennai Super Kings
2,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Ravindra Jadeja,3,0,25,1,8.33,6,1,2,0,0,Chennai Super Kings
2,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Moeen Ali,2,0,17,0,8.50,3,1,1,0,0,Chennai Super Kings
2,indian-premier-league-2022-1298423,gujarat-titans-vs-chennai-super-kings-29th-match-1304075,Dwayne Bravo,4,1,23,3,5.75,12,1,1,0,0,Chennai Super Kings
