innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,KL Rahul (c),c Wade b Mohammed Shami,0,1,3,0,0,0.00,Lucknow Super Giants
1,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Quinton de Kock, b Mohammed Shami,7,9,17,1,0,77.77,Lucknow Super Giants
1,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Evin Lewis,c Shubman Gill b Aaron,10,9,21,2,0,111.11,Lucknow Super Giants
1,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Manish Pandey, b Mohammed Shami,6,5,14,1,0,120.00,Lucknow Super Giants
1,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Deepak Hooda,lbw b Rashid Khan,55,41,62,6,2,134.14,Lucknow Super Giants
1,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Ayush Badoni,c Pandya b Aaron,54,41,78,4,3,131.70,Lucknow Super Giants
1,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Krunal Pandya,not out ,21,13,26,3,0,161.53,Lucknow Super Giants
1,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Dushmantha Chameera,not out ,1,1,2,0,0,100.00,Lucknow Super Giants
2,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Shubman Gill,c Hooda b Chameera,0,3,4,0,0,0.00,Gujarat Titans
2,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Matthew Wade, b Hooda,30,29,60,4,0,103.44,Gujarat Titans
2,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Vijay Shankar, b Chameera,4,6,10,0,0,66.66,Gujarat Titans
2,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Hardik Pandya (c),c Pandey b Pandya,33,28,40,5,1,117.85,Gujarat Titans
2,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,David Miller,c Rahul b Avesh Khan,30,21,38,1,2,142.85,Gujarat Titans
2,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Rahul Tewatia,not out ,40,24,43,5,2,166.66,Gujarat Titans
2,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Abhinav Manohar,not out ,15,7,14,3,0,214.28,Gujarat Titans
