innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Mohammed Shami,4,0,25,3,6.25,13,4,0,0,0,Gujarat Titans
1,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Varun Aaron,4,0,45,2,11.25,5,6,1,3,0,Gujarat Titans
1,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Lockie Ferguson,4,0,24,0,6.00,11,1,1,1,0,Gujarat Titans
1,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Hardik Pandya,4,0,37,0,9.25,10,6,1,0,0,Gujarat Titans
1,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Rashid Khan,4,0,27,1,6.75,8,0,2,0,0,Gujarat Titans
2,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Dushmantha Chameera,3,0,22,2,7.33,11,4,0,1,0,Lucknow Super Giants
2,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Avesh Khan,3.4,0,33,1,9.00,10,5,1,0,0,Lucknow Super Giants
2,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Mohsin Khan,2,0,18,0,9.00,4,3,0,0,0,Lucknow Super Giants
2,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Ravi Bishnoi,4,0,34,0,8.50,11,3,2,2,0,Lucknow Super Giants
2,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Krunal Pandya,4,0,17,1,4.25,12,1,0,0,0,Lucknow Super Giants
2,indian-premier-league-2022-1298423,gujarat-titans-vs-lucknow-super-giants-4th-match-1304050,Deepak Hooda,3,0,31,1,10.33,3,2,2,0,0,Lucknow Super Giants
