innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2022-1298423,gujarat-titans-vs-rajasthan-royals-final-1312200,Mohammed Shami,4,0,33,1,8.25,12,4,1,0,0,Gujarat Titans
1,indian-premier-league-2022-1298423,gujarat-titans-vs-rajasthan-royals-final-1312200,Yash Dayal,3,0,18,1,6.00,9,1,1,0,0,Gujarat Titans
1,indian-premier-league-2022-1298423,gujarat-titans-vs-rajasthan-royals-final-1312200,Lockie Ferguson,3,0,22,0,7.33,5,3,0,0,0,Gujarat Titans
1,indian-premier-league-2022-1298423,gujarat-titans-vs-rajasthan-royals-final-1312200,Rashid Khan,4,0,18,1,4.50,9,1,0,0,0,Gujarat Titans
1,indian-premier-league-2022-1298423,gujarat-titans-vs-rajasthan-royals-final-1312200,Hardik Pandya,4,0,17,3,4.25,14,2,0,0,0,Gujarat Titans
1,indian-premier-league-2022-1298423,gujarat-titans-vs-rajasthan-royals-final-1312200,Sai Kishore,2,0,20,2,10.00,3,0,2,0,0,Gujarat Titans
2,indian-premier-league-2022-1298423,gujarat-titans-vs-rajasthan-royals-final-1312200,Trent Boult,4,1,14,1,3.50,17,1,0,2,0,Rajasthan Royals
2,indian-premier-league-2022-1298423,gujarat-titans-vs-rajasthan-royals-final-1312200,Prasidh Krishna,4,0,40,1,10.00,13,5,1,2,0,Rajasthan Royals
2,indian-premier-league-2022-1298423,gujarat-titans-vs-rajasthan-royals-final-1312200,Yuzvendra Chahal,4,0,20,1,5.00,10,1,0,0,0,Rajasthan Royals
2,indian-premier-league-2022-1298423,gujarat-titans-vs-rajasthan-royals-final-1312200,Obed McCoy,3.1,0,26,0,8.21,5,2,1,0,0,Rajasthan Royals
2,indian-premier-league-2022-1298423,gujarat-titans-vs-rajasthan-royals-final-1312200,Ravichandran Ashwin,3,0,32,0,10.66,2,1,2,0,0,Rajasthan Royals
