innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Prithvi Shaw, b Varun,51,29,44,7,2,175.86,Delhi Capitals
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,David Warner,c Rahane b Yadav,61,45,90,6,2,135.55,Delhi Capitals
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Rishabh Pant (c)†,c Yadav b Russell,27,14,24,2,2,192.85,Delhi Capitals
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Lalit Yadav,lbw b Narine,1,4,6,0,0,25.00,Delhi Capitals
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Rovman Powell,c sub (RK Singh) b Narine,8,6,9,0,1,133.33,Delhi Capitals
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Axar Patel,not out ,22,14,28,2,1,157.14,Delhi Capitals
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Shardul Thakur,not out ,29,11,20,1,3,263.63,Delhi Capitals
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Ajinkya Rahane,c Thakur b Ahmed,8,14,29,1,0,57.14,Kolkata Knight Riders
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Venkatesh Iyer,c Patel b Ahmed,18,8,16,1,2,225.00,Kolkata Knight Riders
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Shreyas Iyer (c),st Pant b Kuldeep Yadav,54,33,54,5,2,163.63,Kolkata Knight Riders
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Nitish Rana,c Shaw b Lalit Yadav,30,20,37,0,3,150.00,Kolkata Knight Riders
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Andre Russell,c Khan b Thakur,24,21,45,3,0,114.28,Kolkata Knight Riders
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Sam Billings,c Lalit Yadav b Ahmed,15,9,10,1,1,166.66,Kolkata Knight Riders
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Pat Cummins,lbw b Kuldeep Yadav,4,3,7,1,0,133.33,Kolkata Knight Riders
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Sunil Narine,c Powell b Kuldeep Yadav,4,2,3,1,0,200.00,Kolkata Knight Riders
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Umesh Yadav,c & b Kuldeep Yadav,0,1,2,0,0,0.00,Kolkata Knight Riders
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Rasikh Salam,c Powell b Thakur,7,6,21,1,0,116.66,Kolkata Knight Riders
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Varun Chakravarthy,not out ,1,1,3,0,0,100.00,Kolkata Knight Riders
