innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Umesh Yadav,4,0,48,1,12.00,8,5,3,0,1,Kolkata Knight Riders
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Rasikh Salam,1,0,10,0,10.00,2,2,0,0,0,Kolkata Knight Riders
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Pat Cummins,4,0,51,0,12.75,5,4,3,2,0,Kolkata Knight Riders
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Varun Chakravarthy,4,0,44,1,11.00,8,3,3,0,2,Kolkata Knight Riders
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Sunil Narine,4,0,21,2,5.25,12,3,0,0,0,Kolkata Knight Riders
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Andre Russell,2,0,16,1,8.00,3,0,1,0,0,Kolkata Knight Riders
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Venkatesh Iyer,1,0,14,0,14.00,0,1,1,0,0,Kolkata Knight Riders
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Mustafizur Rahman,4,0,21,0,5.25,13,2,0,0,0,Delhi Capitals
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Shardul Thakur,2.4,0,30,2,11.25,5,3,2,0,0,Delhi Capitals
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Khaleel Ahmed,4,0,25,3,6.25,13,4,0,0,0,Delhi Capitals
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Axar Patel,3,0,32,0,10.66,4,2,2,0,0,Delhi Capitals
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Kuldeep Yadav,4,0,35,4,8.75,8,2,2,2,0,Delhi Capitals
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Rovman Powell,1,0,17,0,17.00,0,1,1,1,0,Delhi Capitals
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065,Lalit Yadav,1,0,8,1,8.00,3,0,1,0,0,Delhi Capitals
