innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-punjab-kings-8th-match-1304054,Mayank Agarwal (c),lbw b Yadav,1,5,6,0,0,20.00,Punjab Kings
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-punjab-kings-8th-match-1304054,Shikhar Dhawan,c Billings b Southee,16,15,35,1,1,106.66,Punjab Kings
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-punjab-kings-8th-match-1304054,Bhanuka Rajapaksa,c Southee b Shivam Mavi,31,9,17,3,3,344.44,Punjab Kings
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-punjab-kings-8th-match-1304054,Liam Livingstone,c Southee b Yadav,19,16,27,1,1,118.75,Punjab Kings
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-punjab-kings-8th-match-1304054,Raj Bawa, b Narine,11,13,18,1,0,84.61,Punjab Kings
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-punjab-kings-8th-match-1304054,M Shahrukh Khan,c Rana b Southee,0,5,14,0,0,0.00,Punjab Kings
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-punjab-kings-8th-match-1304054,Harpreet Brar, b Yadav,14,18,23,1,1,77.77,Punjab Kings
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-punjab-kings-8th-match-1304054,Odean Smith,not out ,9,12,35,0,1,75.00,Punjab Kings
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-punjab-kings-8th-match-1304054,Rahul Chahar,c Rana b Yadav,0,2,3,0,0,0.00,Punjab Kings
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-punjab-kings-8th-match-1304054,Kagiso Rabada,c Southee b Russell,25,16,21,4,1,156.25,Punjab Kings
1,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-punjab-kings-8th-match-1304054,Arshdeep Singh,run out (Rana/Russell),0,1,2,0,0,0.00,Punjab Kings
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-punjab-kings-8th-match-1304054,Ajinkya Rahane,c Smith b Rabada,12,11,11,3,0,109.09,Kolkata Knight Riders
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-punjab-kings-8th-match-1304054,Venkatesh Iyer,c Harpreet Brar b Smith,3,7,23,0,0,42.85,Kolkata Knight Riders
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-punjab-kings-8th-match-1304054,Shreyas Iyer (c),c Rabada b Chahar,26,15,22,5,0,173.33,Kolkata Knight Riders
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-punjab-kings-8th-match-1304054,Sam Billings,not out ,24,23,49,1,1,104.34,Kolkata Knight Riders
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-punjab-kings-8th-match-1304054,Nitish Rana,lbw b Chahar,0,2,4,0,0,0.00,Kolkata Knight Riders
2,indian-premier-league-2022-1298423,kolkata-knight-riders-vs-punjab-kings-8th-match-1304054,Andre Russell,not out ,70,31,37,2,8,225.80,Kolkata Knight Riders
