innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2022-1298423,lucknow-super-giants-vs-royal-challengers-bangalore-eliminator-1312198,Virat Kohli,c Mohsin Khan b Avesh Khan,25,24,41,2,0,104.16,Royal Challengers Bangalore
1,indian-premier-league-2022-1298423,lucknow-super-giants-vs-royal-challengers-bangalore-eliminator-1312198,Faf du Plessis (c),c de Kock b Mohsin Khan,0,1,6,0,0,0.00,Royal Challengers Bangalore
1,indian-premier-league-2022-1298423,lucknow-super-giants-vs-royal-challengers-bangalore-eliminator-1312198,Rajat Patidar,not out ,112,54,100,12,7,207.40,Royal Challengers Bangalore
1,indian-premier-league-2022-1298423,lucknow-super-giants-vs-royal-challengers-bangalore-eliminator-1312198,Glenn Maxwell,c Lewis b Pandya,9,10,10,0,1,90.00,Royal Challengers Bangalore
1,indian-premier-league-2022-1298423,lucknow-super-giants-vs-royal-challengers-bangalore-eliminator-1312198,Mahipal Lomror,c Rahul b Ravi Bishnoi,14,9,16,2,0,155.55,Royal Challengers Bangalore
1,indian-premier-league-2022-1298423,lucknow-super-giants-vs-royal-challengers-bangalore-eliminator-1312198,Dinesh Karthik,not out ,37,23,41,5,1,160.86,Royal Challengers Bangalore
2,indian-premier-league-2022-1298423,lucknow-super-giants-vs-royal-challengers-bangalore-eliminator-1312198,Quinton de Kock,c du Plessis b Mohammed Siraj,6,5,6,0,1,120.00,Lucknow Super Giants
2,indian-premier-league-2022-1298423,lucknow-super-giants-vs-royal-challengers-bangalore-eliminator-1312198,KL Rahul (c),c Shahbaz Ahmed b Hazlewood,79,58,108,3,5,136.20,Lucknow Super Giants
2,indian-premier-league-2022-1298423,lucknow-super-giants-vs-royal-challengers-bangalore-eliminator-1312198,Manan Vohra,c Shahbaz Ahmed b Hazlewood,19,11,21,1,2,172.72,Lucknow Super Giants
2,indian-premier-league-2022-1298423,lucknow-super-giants-vs-royal-challengers-bangalore-eliminator-1312198,Deepak Hooda, b de Silva,45,26,54,1,4,173.07,Lucknow Super Giants
2,indian-premier-league-2022-1298423,lucknow-super-giants-vs-royal-challengers-bangalore-eliminator-1312198,Marcus Stoinis,c Patidar b Patel,9,9,20,0,1,100.00,Lucknow Super Giants
2,indian-premier-league-2022-1298423,lucknow-super-giants-vs-royal-challengers-bangalore-eliminator-1312198,Evin Lewis,not out ,2,6,20,0,0,33.33,Lucknow Super Giants
2,indian-premier-league-2022-1298423,lucknow-super-giants-vs-royal-challengers-bangalore-eliminator-1312198,Krunal Pandya,c & b Hazlewood,0,1,2,0,0,0.00,Lucknow Super Giants
2,indian-premier-league-2022-1298423,lucknow-super-giants-vs-royal-challengers-bangalore-eliminator-1312198,Dushmantha Chameera,not out ,11,4,9,1,1,275.00,Lucknow Super Giants
