innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2022-1298423,punjab-kings-vs-chennai-super-kings-38th-match-1304084,Mukesh Choudhary,4,0,36,0,9.00,6,4,0,3,0,Chennai Super Kings
1,indian-premier-league-2022-1298423,punjab-kings-vs-chennai-super-kings-38th-match-1304084,Maheesh Theekshana,4,0,32,1,8.00,6,2,1,2,0,Chennai Super Kings
1,indian-premier-league-2022-1298423,punjab-kings-vs-chennai-super-kings-38th-match-1304084,Mitchell Santner,2,0,8,0,4.00,7,1,0,0,0,Chennai Super Kings
1,indian-premier-league-2022-1298423,punjab-kings-vs-chennai-super-kings-38th-match-1304084,Ravindra Jadeja,2,0,18,0,9.00,1,0,1,2,0,Chennai Super Kings
1,indian-premier-league-2022-1298423,punjab-kings-vs-chennai-super-kings-38th-match-1304084,Dwaine Pretorius,4,0,50,0,12.50,4,4,3,2,0,Chennai Super Kings
1,indian-premier-league-2022-1298423,punjab-kings-vs-chennai-super-kings-38th-match-1304084,Dwayne Bravo,4,0,42,2,10.50,5,4,1,2,2,Chennai Super Kings
2,indian-premier-league-2022-1298423,punjab-kings-vs-chennai-super-kings-38th-match-1304084,Kagiso Rabada,4,0,23,2,5.75,13,4,0,0,0,Punjab Kings
2,indian-premier-league-2022-1298423,punjab-kings-vs-chennai-super-kings-38th-match-1304084,Sandeep Sharma,4,0,40,1,10.00,11,3,3,2,0,Punjab Kings
2,indian-premier-league-2022-1298423,punjab-kings-vs-chennai-super-kings-38th-match-1304084,Rishi Dhawan,4,0,39,2,9.75,10,2,3,2,0,Punjab Kings
2,indian-premier-league-2022-1298423,punjab-kings-vs-chennai-super-kings-38th-match-1304084,Arshdeep Singh,4,0,23,1,5.75,9,2,0,1,0,Punjab Kings
2,indian-premier-league-2022-1298423,punjab-kings-vs-chennai-super-kings-38th-match-1304084,Rahul Chahar,3,0,30,0,10.00,4,3,1,1,0,Punjab Kings
2,indian-premier-league-2022-1298423,punjab-kings-vs-chennai-super-kings-38th-match-1304084,Liam Livingstone,1,0,12,0,12.00,2,1,1,0,0,Punjab Kings
