innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2022-1298423,rajasthan-royals-vs-gujarat-titans-24th-match-1304070,Matthew Wade,run out (van der Dussen),12,6,8,3,0,200.00,Gujarat Titans
1,indian-premier-league-2022-1298423,rajasthan-royals-vs-gujarat-titans-24th-match-1304070,Shubman Gill,c Hetmyer b Parag,13,14,34,2,0,92.85,Gujarat Titans
1,indian-premier-league-2022-1298423,rajasthan-royals-vs-gujarat-titans-24th-match-1304070,Vijay Shankar,c Samson b Sen,2,7,8,0,0,28.57,Gujarat Titans
1,indian-premier-league-2022-1298423,rajasthan-royals-vs-gujarat-titans-24th-match-1304070,Hardik Pandya (c),not out ,87,52,88,8,4,167.30,Gujarat Titans
1,indian-premier-league-2022-1298423,rajasthan-royals-vs-gujarat-titans-24th-match-1304070,Abhinav Manohar,c Ashwin b Chahal,43,28,44,4,2,153.57,Gujarat Titans
1,indian-premier-league-2022-1298423,rajasthan-royals-vs-gujarat-titans-24th-match-1304070,David Miller,not out ,31,14,25,5,1,221.42,Gujarat Titans
2,indian-premier-league-2022-1298423,rajasthan-royals-vs-gujarat-titans-24th-match-1304070,Jos Buttler, b Ferguson,54,24,34,8,3,225.00,Rajasthan Royals
2,indian-premier-league-2022-1298423,rajasthan-royals-vs-gujarat-titans-24th-match-1304070,Devdutt Padikkal,c Shubman Gill b Yash Dayal,0,1,12,0,0,0.00,Rajasthan Royals
2,indian-premier-league-2022-1298423,rajasthan-royals-vs-gujarat-titans-24th-match-1304070,Ravichandran Ashwin,c Miller b Ferguson,8,8,17,0,1,100.00,Rajasthan Royals
2,indian-premier-league-2022-1298423,rajasthan-royals-vs-gujarat-titans-24th-match-1304070,Sanju Samson (c)†,run out (Pandya),11,11,12,0,1,100.00,Rajasthan Royals
2,indian-premier-league-2022-1298423,rajasthan-royals-vs-gujarat-titans-24th-match-1304070,Rassie van der Dussen,c Wade b Yash Dayal,6,10,30,0,0,60.00,Rajasthan Royals
2,indian-premier-league-2022-1298423,rajasthan-royals-vs-gujarat-titans-24th-match-1304070,Shimron Hetmyer,c Tewatia b Mohammed Shami,29,17,37,2,1,170.58,Rajasthan Royals
2,indian-premier-league-2022-1298423,rajasthan-royals-vs-gujarat-titans-24th-match-1304070,Riyan Parag,c Shubman Gill b Ferguson,18,16,31,1,1,112.50,Rajasthan Royals
2,indian-premier-league-2022-1298423,rajasthan-royals-vs-gujarat-titans-24th-match-1304070,James Neesham,c & b Pandya,17,15,23,1,0,113.33,Rajasthan Royals
2,indian-premier-league-2022-1298423,rajasthan-royals-vs-gujarat-titans-24th-match-1304070,Prasidh Krishna,not out ,4,7,19,0,0,57.14,Rajasthan Royals
2,indian-premier-league-2022-1298423,rajasthan-royals-vs-gujarat-titans-24th-match-1304070,Yuzvendra Chahal,c Shankar b Yash Dayal,5,8,11,0,0,62.50,Rajasthan Royals
2,indian-premier-league-2022-1298423,rajasthan-royals-vs-gujarat-titans-24th-match-1304070,Kuldeep Sen,not out ,0,3,3,0,0,0.00,Rajasthan Royals
