innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-1304071,Venkatesh Iyer, b Natarajan,6,13,23,1,0,46.15,Kolkata Knight Riders
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-1304071,Aaron Finch,c Pooran b Jansen,7,5,10,0,1,140.00,Kolkata Knight Riders
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-1304071,Shreyas Iyer (c), b Umran Malik,28,25,43,3,0,112.00,Kolkata Knight Riders
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-1304071,Sunil Narine,c Shashank Singh b Natarajan,6,2,3,0,1,300.00,Kolkata Knight Riders
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-1304071,Nitish Rana,c Pooran b Natarajan,54,36,69,6,2,150.00,Kolkata Knight Riders
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-1304071,Sheldon Jackson,c Natarajan b Umran Malik,7,7,18,0,1,100.00,Kolkata Knight Riders
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-1304071,Andre Russell,not out ,49,25,43,4,4,196.00,Kolkata Knight Riders
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-1304071,Pat Cummins,c Jansen b Kumar,3,3,7,0,0,100.00,Kolkata Knight Riders
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-1304071,Aman Hakim Khan, b Suchith,5,3,6,1,0,166.66,Kolkata Knight Riders
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-1304071,Umesh Yadav,not out ,1,1,5,0,0,100.00,Kolkata Knight Riders
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-1304071,Abhishek Sharma, b Cummins,3,10,8,0,0,30.00,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-1304071,Kane Williamson (c), b Russell,17,16,30,3,0,106.25,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-1304071,Rahul Tripathi,c VR Iyer b Russell,71,37,62,4,6,191.89,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-1304071,Aiden Markram,not out ,68,36,57,6,4,188.88,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-1304071,Nicholas Pooran,not out ,5,8,17,0,0,62.50,Sunrisers Hyderabad
