innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,KL Rahul (c),lbw b Natarajan,68,50,93,6,1,136.00,Lucknow Super Giants
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,Quinton de Kock,c Williamson b Washington Sundar,1,4,10,0,0,25.00,Lucknow Super Giants
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,Evin Lewis,lbw b Washington Sundar,1,5,10,0,0,20.00,Lucknow Super Giants
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,Manish Pandey,c Kumar b Shepherd,11,10,8,1,1,110.00,Lucknow Super Giants
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,Deepak Hooda,c Tripathi b Shepherd,51,33,50,3,3,154.54,Lucknow Super Giants
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,Ayush Badoni,run out (Pooran/Shepherd),19,12,30,3,0,158.33,Lucknow Super Giants
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,Krunal Pandya, b Natarajan,6,3,3,1,0,200.00,Lucknow Super Giants
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,Jason Holder,not out ,8,3,8,0,1,266.66,Lucknow Super Giants
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,Abhishek Sharma,c Pandey b Avesh Khan,13,11,25,2,0,118.18,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,Kane Williamson (c),c Tye b Avesh Khan,16,16,16,1,1,100.00,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,Rahul Tripathi,c Ravi Bishnoi b Pandya,44,30,48,5,1,146.66,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,Aiden Markram,c Rahul b Pandya,12,14,23,0,0,85.71,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,Nicholas Pooran,c Hooda b Avesh Khan,34,24,42,3,2,141.66,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,Washington Sundar,c Rahul b Holder,18,14,38,1,0,128.57,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,Abdul Samad,c de Kock b Avesh Khan,0,1,2,0,0,0.00,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,Romario Shepherd,c Badoni b Holder,8,8,17,0,1,100.00,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,Bhuvneshwar Kumar,c de Kock b Holder,1,2,6,0,0,50.00,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058,Umran Malik,not out ,1,1,2,0,0,100.00,Sunrisers Hyderabad
