innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-punjab-kings-70th-match-1304116,Liam Livingstone,4,0,25,0,6.25,8,1,1,0,0,Punjab Kings
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-punjab-kings-70th-match-1304116,Arshdeep Singh,4,0,25,0,6.25,10,3,0,0,0,Punjab Kings
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-punjab-kings-70th-match-1304116,Kagiso Rabada,4,0,38,1,9.50,10,4,1,3,0,Punjab Kings
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-punjab-kings-70th-match-1304116,Nathan Ellis,4,0,40,3,10.00,11,3,3,1,1,Punjab Kings
1,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-punjab-kings-70th-match-1304116,Harpreet Brar,4,0,26,3,6.50,11,2,1,0,0,Punjab Kings
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-punjab-kings-70th-match-1304116,Bhuvneshwar Kumar,2,0,22,0,11.00,4,3,1,0,0,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-punjab-kings-70th-match-1304116,Washington Sundar,2,0,19,1,9.50,4,2,1,0,0,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-punjab-kings-70th-match-1304116,Fazalhaq Farooqi,4,0,32,2,8.00,7,4,0,1,0,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-punjab-kings-70th-match-1304116,Jagadeesha Suchith,4,0,38,1,9.50,9,2,3,2,0,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-punjab-kings-70th-match-1304116,Umran Malik,2.1,0,24,1,11.07,5,2,2,0,0,Sunrisers Hyderabad
2,indian-premier-league-2022-1298423,sunrisers-hyderabad-vs-punjab-kings-70th-match-1304116,Romario Shepherd,1,0,23,0,23.00,1,2,2,1,0,Sunrisers Hyderabad
