innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2023-1345038,chennai-super-kings-vs-delhi-capitals-55th-match-1359529,Khaleel Ahmed,4,0,32,1,8.00,9,1,2,2,0,Delhi Capitals
1,indian-premier-league-2023-1345038,chennai-super-kings-vs-delhi-capitals-55th-match-1359529,Ishant Sharma,2,0,23,0,11.50,4,4,0,2,0,Delhi Capitals
1,indian-premier-league-2023-1345038,chennai-super-kings-vs-delhi-capitals-55th-match-1359529,Lalit Yadav,3,0,34,1,11.33,6,2,3,0,0,Delhi Capitals
1,indian-premier-league-2023-1345038,chennai-super-kings-vs-delhi-capitals-55th-match-1359529,Axar Patel,4,0,27,2,6.75,8,2,1,0,0,Delhi Capitals
1,indian-premier-league-2023-1345038,chennai-super-kings-vs-delhi-capitals-55th-match-1359529,Kuldeep Yadav,4,0,28,1,7.00,6,0,1,3,0,Delhi Capitals
1,indian-premier-league-2023-1345038,chennai-super-kings-vs-delhi-capitals-55th-match-1359529,Mitchell Marsh,3,0,18,3,6.00,7,1,0,3,0,Delhi Capitals
2,indian-premier-league-2023-1345038,chennai-super-kings-vs-delhi-capitals-55th-match-1359529,Deepak Chahar,3,0,28,2,9.33,10,3,2,1,0,Chennai Super Kings
2,indian-premier-league-2023-1345038,chennai-super-kings-vs-delhi-capitals-55th-match-1359529,Tushar Deshpande,3,0,18,0,6.00,9,1,1,0,0,Chennai Super Kings
2,indian-premier-league-2023-1345038,chennai-super-kings-vs-delhi-capitals-55th-match-1359529,Maheesh Theekshana,2,0,16,0,8.00,2,0,1,0,0,Chennai Super Kings
2,indian-premier-league-2023-1345038,chennai-super-kings-vs-delhi-capitals-55th-match-1359529,Ravindra Jadeja,4,0,19,1,4.75,10,1,0,0,0,Chennai Super Kings
2,indian-premier-league-2023-1345038,chennai-super-kings-vs-delhi-capitals-55th-match-1359529,Moeen Ali,4,0,16,0,4.00,13,0,1,0,0,Chennai Super Kings
2,indian-premier-league-2023-1345038,chennai-super-kings-vs-delhi-capitals-55th-match-1359529,Matheesha Pathirana,4,0,37,3,9.25,11,5,1,4,0,Chennai Super Kings
