innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2023-1345038,chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480,Kyle Mayers,2,0,16,0,8.00,1,1,0,1,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480,Avesh Khan,3,0,39,1,13.00,4,6,0,1,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480,Krunal Pandya,2,0,21,0,10.50,4,1,2,0,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480,Krishnappa Gowtham,1,0,20,0,20.00,2,0,3,0,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480,Mark Wood,4,0,49,3,12.25,9,3,5,0,0,Lucknow Super Giants
1,indian-premier-league-2023-1345038,chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480,Yash Thakur,4,0,36,0,9.00,4,3,1,0,1,Lucknow Super Giants
1,indian-premier-league-2023-1345038,chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480,Ravi Bishnoi,4,0,28,3,7.00,13,1,2,1,0,Lucknow Super Giants
2,indian-premier-league-2023-1345038,chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480,Deepak Chahar,4,0,55,0,13.75,6,7,1,5,0,Chennai Super Kings
2,indian-premier-league-2023-1345038,chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480,Ben Stokes,1,0,18,0,18.00,0,2,1,0,0,Chennai Super Kings
2,indian-premier-league-2023-1345038,chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480,Tushar Deshpande,4,0,45,2,11.25,7,2,2,4,3,Chennai Super Kings
2,indian-premier-league-2023-1345038,chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480,Moeen Ali,4,0,26,4,6.50,10,0,1,1,0,Chennai Super Kings
2,indian-premier-league-2023-1345038,chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480,Mitchell Santner,4,0,21,1,5.25,9,0,1,0,0,Chennai Super Kings
2,indian-premier-league-2023-1345038,chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480,Rajvardhan Hangargekar,2,0,24,0,12.00,4,2,1,3,0,Chennai Super Kings
2,indian-premier-league-2023-1345038,chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480,Ravindra Jadeja,1,0,14,0,14.00,2,0,2,0,0,Chennai Super Kings
