innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2023-1345038,delhi-capitals-vs-gujarat-titans-7th-match-1359481,Mohammed Shami,4,0,41,3,10.25,15,5,1,4,0,Gujarat Titans
1,indian-premier-league-2023-1345038,delhi-capitals-vs-gujarat-titans-7th-match-1359481,Josh Little,4,0,27,0,6.75,11,2,1,0,0,Gujarat Titans
1,indian-premier-league-2023-1345038,delhi-capitals-vs-gujarat-titans-7th-match-1359481,Hardik Pandya,3,0,18,0,6.00,6,2,0,0,0,Gujarat Titans
1,indian-premier-league-2023-1345038,delhi-capitals-vs-gujarat-titans-7th-match-1359481,Alzarri Joseph,4,0,29,2,7.25,13,3,1,1,0,Gujarat Titans
1,indian-premier-league-2023-1345038,delhi-capitals-vs-gujarat-titans-7th-match-1359481,Yash Dayal,1,0,12,0,12.00,0,0,1,0,0,Gujarat Titans
1,indian-premier-league-2023-1345038,delhi-capitals-vs-gujarat-titans-7th-match-1359481,Rashid Khan,4,0,31,3,7.75,9,2,2,0,0,Gujarat Titans
2,indian-premier-league-2023-1345038,delhi-capitals-vs-gujarat-titans-7th-match-1359481,Khaleel Ahmed,4,0,38,1,9.50,9,5,1,1,0,Delhi Capitals
2,indian-premier-league-2023-1345038,delhi-capitals-vs-gujarat-titans-7th-match-1359481,Mukesh Kumar,4,0,42,0,10.50,8,5,2,1,0,Delhi Capitals
2,indian-premier-league-2023-1345038,delhi-capitals-vs-gujarat-titans-7th-match-1359481,Anrich Nortje,4,0,39,2,9.75,9,3,2,0,2,Delhi Capitals
2,indian-premier-league-2023-1345038,delhi-capitals-vs-gujarat-titans-7th-match-1359481,Mitchell Marsh,3.1,0,24,1,7.57,4,1,0,1,0,Delhi Capitals
2,indian-premier-league-2023-1345038,delhi-capitals-vs-gujarat-titans-7th-match-1359481,Kuldeep Yadav,3,0,18,0,6.00,5,1,0,1,0,Delhi Capitals
