innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Virat Kohli,c Ahmed b Mukesh Kumar,55,46,74,5,0,119.56,Royal Challengers Bangalore
1,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Faf du Plessis (c),c AR Patel b Marsh,45,32,46,5,1,140.62,Royal Challengers Bangalore
1,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Glenn Maxwell,c Salt b Marsh,0,1,2,0,0,0.00,Royal Challengers Bangalore
1,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Mahipal Lomror,not out ,54,29,53,6,3,186.20,Royal Challengers Bangalore
1,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Dinesh Karthik,c Warner b Ahmed,11,9,22,0,1,122.22,Royal Challengers Bangalore
1,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Anuj Rawat,not out ,8,3,5,0,1,266.66,Royal Challengers Bangalore
2,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,David Warner (c),c du Plessis b Hazlewood,22,14,26,3,1,157.14,Delhi Capitals
2,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Phil Salt, b Sharma,87,45,76,8,6,193.33,Delhi Capitals
2,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Mitchell Marsh,c Lomror b Patel,26,17,22,3,1,152.94,Delhi Capitals
2,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Rilee Rossouw,not out ,35,22,34,1,3,159.09,Delhi Capitals
2,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Axar Patel,not out ,8,3,5,0,1,266.66,Delhi Capitals
