innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Khaleel Ahmed,4,0,45,1,11.25,7,3,3,1,0,Delhi Capitals
1,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Axar Patel,3,0,17,0,5.66,7,2,0,0,0,Delhi Capitals
1,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Ishant Sharma,3,0,29,0,9.66,5,4,0,2,0,Delhi Capitals
1,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Mukesh Kumar,3,0,30,1,10.00,6,5,0,1,0,Delhi Capitals
1,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Mitchell Marsh,3,0,21,2,7.00,3,0,1,1,0,Delhi Capitals
1,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Kuldeep Yadav,4,0,37,0,9.25,5,2,2,0,0,Delhi Capitals
2,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Mohammed Siraj,2,0,28,0,14.00,4,3,2,1,0,Royal Challengers Bangalore
2,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Glenn Maxwell,1.4,0,14,0,8.40,4,1,1,0,0,Royal Challengers Bangalore
2,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Josh Hazlewood,3,0,29,1,9.66,9,2,2,0,1,Royal Challengers Bangalore
2,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Wanindu Hasaranga,4,0,32,0,8.00,9,2,2,0,0,Royal Challengers Bangalore
2,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Karn Sharma,3,0,33,1,11.00,4,4,1,0,0,Royal Challengers Bangalore
2,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Mahipal Lomror,1,0,13,0,13.00,1,1,1,0,0,Royal Challengers Bangalore
2,indian-premier-league-2023-1345038,delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524,Harshal Patel,2,0,32,1,16.00,4,2,3,1,0,Royal Challengers Bangalore
