innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Phil Salt,c Miller b Mohammed Shami,0,1,2,0,0,0.00,Delhi Capitals
1,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,David Warner (c),run out (Rashid Khan),2,2,10,0,0,100.00,Delhi Capitals
1,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Priyam Garg,c Saha b Mohammed Shami,10,14,26,0,0,71.42,Delhi Capitals
1,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Rilee Rossouw,c Saha b Mohammed Shami,8,6,9,2,0,133.33,Delhi Capitals
1,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Manish Pandey,c Saha b Mohammed Shami,1,4,7,0,0,25.00,Delhi Capitals
1,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Axar Patel,c Rashid Khan b Sharma,27,30,43,2,1,90.00,Delhi Capitals
1,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Aman Hakim Khan,c Manohar b Rashid Khan,51,44,62,3,3,115.90,Delhi Capitals
1,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Ripal Patel,c Pandya b Sharma,23,13,32,2,1,176.92,Delhi Capitals
1,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Anrich Nortje,not out ,3,6,8,0,0,50.00,Delhi Capitals
1,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Kuldeep Yadav,not out ,0,1,1,0,0,0.00,Delhi Capitals
2,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Wriddhiman Saha,c Salt b Ahmed,0,6,6,0,0,0.00,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Shubman Gill,c Pandey b Nortje,6,7,18,1,0,85.71,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Hardik Pandya (c),not out ,59,53,94,7,0,111.32,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Vijay Shankar, b Sharma,6,9,11,1,0,66.66,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,David Miller, b Kuldeep Yadav,0,3,9,0,0,0.00,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Abhinav Manohar,c Aman Hakim Khan b Ahmed,26,33,44,0,1,78.78,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Rahul Tewatia,c Rossouw b Sharma,20,7,19,0,3,285.71,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Rashid Khan,not out ,3,2,3,0,0,150.00,Gujarat Titans
