innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Mohammed Shami,4,0,11,4,2.75,19,1,0,0,0,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Hardik Pandya,1,0,10,0,10.00,3,2,0,0,1,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Josh Little,3,0,27,0,9.00,6,4,0,0,0,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Rashid Khan,4,0,28,1,7.00,12,0,3,1,0,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Noor Ahmad,4,0,20,0,5.00,11,1,0,2,0,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Mohit Sharma,4,0,33,2,8.25,7,1,2,0,0,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Khaleel Ahmed,4,1,24,2,6.00,12,4,0,0,0,Delhi Capitals
2,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Ishant Sharma,4,0,23,2,5.75,12,2,0,1,0,Delhi Capitals
2,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Anrich Nortje,4,0,39,1,9.75,11,2,3,2,0,Delhi Capitals
2,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Kuldeep Yadav,4,0,15,1,3.75,9,0,0,0,0,Delhi Capitals
2,indian-premier-league-2023-1345038,gujarat-titans-vs-delhi-capitals-44th-match-1359518,Axar Patel,4,0,24,0,6.00,10,1,1,1,0,Delhi Capitals
