innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2023-1345038,gujarat-titans-vs-kolkata-knight-riders-13th-match-1359487,Umesh Yadav,3,0,24,0,8.00,7,4,0,1,0,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,gujarat-titans-vs-kolkata-knight-riders-13th-match-1359487,Shardul Thakur,3,0,40,0,13.33,4,3,3,1,0,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,gujarat-titans-vs-kolkata-knight-riders-13th-match-1359487,Lockie Ferguson,4,0,40,0,10.00,8,3,2,1,1,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,gujarat-titans-vs-kolkata-knight-riders-13th-match-1359487,Sunil Narine,4,0,33,3,8.25,8,3,1,1,0,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,gujarat-titans-vs-kolkata-knight-riders-13th-match-1359487,Varun Chakravarthy,2,0,27,0,13.50,1,2,1,1,0,Kolkata Knight Riders
1,indian-premier-league-2023-1345038,gujarat-titans-vs-kolkata-knight-riders-13th-match-1359487,Suyash Sharma,4,0,35,1,8.75,6,3,0,1,0,Kolkata Knight Riders
2,indian-premier-league-2023-1345038,gujarat-titans-vs-kolkata-knight-riders-13th-match-1359487,Mohammed Shami,4,0,28,1,7.00,10,2,1,0,0,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-kolkata-knight-riders-13th-match-1359487,Josh Little,4,0,45,1,11.25,9,4,3,3,0,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-kolkata-knight-riders-13th-match-1359487,Alzarri Joseph,4,0,27,2,6.75,14,2,2,0,0,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-kolkata-knight-riders-13th-match-1359487,Yash Dayal,4,0,69,0,17.25,4,3,8,0,0,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-kolkata-knight-riders-13th-match-1359487,Rashid Khan,4,0,37,3,9.25,6,4,1,0,0,Gujarat Titans
