innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Wriddhiman Saha,c Ishan Kishan b Tendulkar,4,7,13,0,0,57.14,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Shubman Gill,c Yadav b Kartikeya,56,34,57,7,1,164.70,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Hardik Pandya (c),c Yadav b Chawla,13,14,23,1,0,92.85,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Vijay Shankar,c David b Chawla,19,16,27,1,1,118.75,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,David Miller,c Yadav b Behrendorff,46,22,47,2,4,209.09,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Abhinav Manohar,c Behrendorff b Meredith,42,21,30,3,3,200.00,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Rahul Tewatia,not out ,20,5,13,0,3,400.00,Gujarat Titans
1,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Rashid Khan,not out ,2,1,2,0,0,200.00,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Rohit Sharma (c),c & b Pandya,2,8,10,0,0,25.00,Mumbai Indians
2,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Ishan Kishan,c Little b Rashid Khan,13,21,35,1,0,61.90,Mumbai Indians
2,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Cameron Green, b Noor Ahmad,33,26,43,0,3,126.92,Mumbai Indians
2,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Tilak Varma,lbw b Rashid Khan,2,3,6,0,0,66.66,Mumbai Indians
2,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Suryakumar Yadav,c & b Noor Ahmad,23,12,27,3,1,191.66,Mumbai Indians
2,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Tim David,c Manohar b Noor Ahmad,0,2,3,0,0,0.00,Mumbai Indians
2,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Nehal Wadhera,c Mohammed Shami b Sharma,40,21,38,3,3,190.47,Mumbai Indians
2,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Piyush Chawla,run out (Saha/Sharma),18,12,22,1,1,150.00,Mumbai Indians
2,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Arjun Tendulkar,c Little b Sharma,13,9,13,0,1,144.44,Mumbai Indians
2,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Jason Behrendorff,not out ,3,4,12,0,0,75.00,Mumbai Indians
2,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-35th-match-1359509,Riley Meredith,not out ,0,2,2,0,0,0.00,Mumbai Indians
