innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-qualifier-2-1370352,Jason Behrendorff,4,0,28,0,7.00,8,4,0,0,0,Mumbai Indians
1,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-qualifier-2-1370352,Cameron Green,3,0,35,0,11.66,4,3,2,0,0,Mumbai Indians
1,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-qualifier-2-1370352,Akash Madhwal,4,0,52,1,13.00,7,3,4,0,2,Mumbai Indians
1,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-qualifier-2-1370352,Chris Jordan,4,0,56,0,14.00,6,6,3,4,0,Mumbai Indians
1,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-qualifier-2-1370352,Piyush Chawla,3,0,45,1,15.00,0,2,3,1,0,Mumbai Indians
1,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-qualifier-2-1370352,Kumar Kartikeya,2,0,15,0,7.50,2,0,1,0,0,Mumbai Indians
2,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-qualifier-2-1370352,Mohammed Shami,3,0,41,2,13.66,6,6,2,0,0,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-qualifier-2-1370352,Hardik Pandya,2,0,24,0,12.00,4,3,1,1,0,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-qualifier-2-1370352,Rashid Khan,4,0,33,2,8.25,8,5,0,1,0,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-qualifier-2-1370352,Noor Ahmad,4,0,35,0,8.75,8,1,2,1,1,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-qualifier-2-1370352,Josh Little,3,0,26,1,8.66,6,2,1,1,0,Gujarat Titans
2,indian-premier-league-2023-1345038,gujarat-titans-vs-mumbai-indians-qualifier-2-1370352,Mohit Sharma,2.2,0,10,5,4.28,9,0,1,0,0,Gujarat Titans
